Aegithalos caudatus
Anthus trivialis
Carduelis carduelis
Carpodacus erythrinus
Certhia familiaris
Carduelis chloris
Coccothraustes coccothraustes
Parus caeruleus
Erithacus rubecula
Ficedula hypoleuca
Ficedula parva
Fringilla coelebs
Garrulus glandarius
Lanius collurio
Muscicapa striata
Parus major
Parus ater
Phylloscopus collybita
Phylloscopus sibilatrix
Prunella modularis
Pyrrhula pyrrhula
Regulus regulus
Sitta europaea
Carduelis spinus
Sylvia atricapilla
Sylvia communis
Troglodytes troglodytes
Turdus merula
Turdus philomelos
