Options:
Model:                           Continuous: Regression
Tree File Name:                  29species_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_Fst.txt
Log File Name:                   Eco_Fst.txt.log.txt
Summary:                         False
Seed                             1160985329
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       29
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	23.821499	23.821499	451	0.303674207227	-0.052946218603	0.000226789509	0.244831446417	0.006297979119	0.008339832332	0.056461	0.016024	0.026959445315	
12000	22.478496	22.939690	802	0.223463466380	-0.051224082569	0.000229923559	0.221623819624	0.006111341984	0.007851399025	0.062114	0.016502	0.267314553017	
13000	23.535945	23.101868	888	0.233322280343	-0.038054279416	0.000220176654	0.223153238843	0.006335901384	0.008155921735	0.061078	0.015782	0.321621186725	
14000	22.956737	23.063563	6	0.264329503572	-0.058777560277	0.000237047158	0.235871875241	0.006322541240	0.008274189936	0.058973	0.016367	0.158722490185	
15000	20.350737	21.724790	8	0.331112929096	-0.039993596654	0.000336270556	0.181481964515	0.008351866296	0.010203643578	0.071264	0.017408	0.650531831837	
16000	23.844933	21.883392	735	0.283871135271	-0.046575235173	0.000233746788	0.245799185743	0.006466584607	0.008574088604	0.056252	0.016059	0.008921268320	
17000	23.422102	22.002392	589	0.200460559973	-0.028474469521	0.000245607968	0.230697378632	0.006816812070	0.008861028003	0.058174	0.016074	0.171427869015	
18000	22.683383	22.066115	178	0.186611680618	-0.024787758675	0.000287035724	0.224944621678	0.007844290719	0.010120942243	0.062576	0.016270	0.341492544200	
19000	24.062794	22.167067	247	0.295324957714	-0.055514926907	0.000262261053	0.240194700272	0.007517931528	0.009894549999	0.056279	0.015744	0.102421487823	
20000	19.254604	21.159034	587	0.090606033447	-0.023318271430	0.000427707256	0.154569473765	0.010750580718	0.012716101896	0.077263	0.017467	0.866559081287	
21000	22.054234	21.214304	986	0.385454728224	-0.083843537976	0.000290277333	0.243768369631	0.007130994626	0.009429643431	0.060065	0.017058	0.030166683153	
22000	20.979417	21.192480	364	0.329582041928	-0.049516401903	0.000249853229	0.244344306070	0.005712284985	0.007559375296	0.062492	0.017669	0.038831936162	
23000	22.238032	21.243652	522	0.170864816328	-0.024507536565	0.000244804346	0.209880979415	0.006701056787	0.008481072614	0.064090	0.016251	0.541093195472	
24000	23.259945	21.307570	523	0.239536756004	-0.037261318875	0.000242391783	0.212864320805	0.006957803493	0.008839395389	0.061645	0.015914	0.405901685955	
25000	22.357778	21.351879	155	0.297355663266	-0.039731710081	0.000302157087	0.189336978384	0.008274225478	0.010206738506	0.067996	0.016350	0.630163408926	
26000	22.862347	21.401805	621	0.195108044332	-0.037652547147	0.000259091680	0.218942792980	0.007110927836	0.009104234327	0.060448	0.016184	0.317719511072	
27000	22.970437	21.449493	490	0.238291811397	-0.047411166361	0.000266326518	0.198018803760	0.007600344769	0.009476961311	0.062828	0.016045	0.476776157319	
28000	22.561972	21.487498	103	0.153867406577	-0.018863297220	0.000257493102	0.243918016967	0.006549715875	0.008662705926	0.058962	0.016754	0.028275388149	
29000	23.545359	21.534494	836	0.262436557970	-0.055275900287	0.000230027806	0.240306911170	0.006336290712	0.008340592806	0.057282	0.016116	0.082493095693	
30000	22.303977	21.561698	632	0.147939639435	-0.019057532345	0.000277811062	0.242328683758	0.006982928221	0.009216302731	0.059637	0.016865	0.049937092955	
31000	24.075921	21.606450	44	0.310761571909	-0.058044205489	0.000224791565	0.245110698058	0.006346982259	0.008407831774	0.055972	0.015896	0.026584190807	
