Options:
Model:                           Continuous: Regression
Tree File Name:                  29species_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_Fst.txt
Log File Name:                   Eco_Fst.txt.log.txt
Summary:                         False
Seed                             1160462431
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       29
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	21.580624	21.580624	380	0.225351238696	-0.049608731651	0.000333105420	0.166106025120	0.009270021065	0.011116546400	0.071154	0.016403	0.777215290922	
12000	21.187194	21.364684	643	0.288331167295	-0.036450600654	0.000342107652	0.162709834943	0.009274650108	0.011076984414	0.069049	0.016846	0.734167666619	
13000	21.277093	21.334627	56	0.388389709067	-0.087983332768	0.000256443084	0.240688267969	0.006038199462	0.007952200930	0.062240	0.017407	0.089484909585	
14000	23.260961	21.574891	118	0.258300676705	-0.055718541475	0.000225778792	0.236834524154	0.006102822989	0.007996723099	0.058094	0.016273	0.100518050470	
15000	23.587228	21.765161	77	0.256238303343	-0.050263171080	0.000236333059	0.224310751317	0.006790545355	0.008754208423	0.059187	0.015771	0.292442595397	
16000	21.712102	21.756120	394	0.151273065257	-0.026325401860	0.000291359843	0.183338406852	0.007913684370	0.009690285960	0.067184	0.016578	0.619702404820	
17000	20.868148	21.570211	902	0.150970654051	-0.007227390755	0.000307044611	0.216763028092	0.007416523618	0.009469067324	0.065971	0.017226	0.465634947869	
18000	22.521475	21.650032	235	0.218413512858	-0.037913666571	0.000281574321	0.197669000258	0.008129396924	0.010132223393	0.065400	0.015833	0.646531973607	
19000	22.631987	21.722055	646	0.204290974515	-0.042057298927	0.000275224482	0.200236939145	0.007631385937	0.009542058530	0.062580	0.016180	0.514095994227	
20000	24.025384	21.816374	822	0.230092685943	-0.035011398774	0.000200109677	0.244453784517	0.005644026545	0.007470127478	0.056208	0.015909	0.032339000525	
