Options:
Model:                           Continuous: Regression
Tree File Name:                  17species_MNeCau_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_MNeCau.txt
Log File Name:                   Eco_MNeCau.txt.log.txt
Summary:                         False
Seed                             1639740257
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       17
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	-11.476571	-11.476571	981	0.019945953099	0.031683716894	0.005827904437	0.014777546398	0.098036540458	0.099507009914	0.332029	0.101805	0.832659900585	
12000	-9.468347	-10.909375	657	0.093063784484	0.033010392998	0.003591507696	0.007195177879	0.061048546317	0.061490984891	0.291719	0.094490	0.198107239233	
13000	-9.705488	-10.643683	755	0.357459472758	-0.028821822734	0.003508593615	0.006298660128	0.056200678708	0.056556911471	0.296650	0.096215	0.028663700962	
14000	-9.716445	-10.479883	142	-0.056326295568	0.089009737335	0.004102488669	0.006955439750	0.068320161511	0.068798686631	0.296426	0.095845	0.218605747173	
15000	-10.419614	-10.468116	929	0.158031456149	-0.024324313197	0.004044207782	0.007936398158	0.065697161889	0.066222731856	0.312440	0.098646	0.388023953007	
16000	-12.347660	-11.123087	988	0.300903117865	0.067451266055	0.004401418390	0.006540150562	0.052517378834	0.052863111543	0.346870	0.112229	0.095081470384	
17000	-10.614910	-11.064487	655	-0.017648784538	0.006968777545	0.004155852675	0.007866880614	0.063216882250	0.063718145292	0.315323	0.099702	0.293015856748	
18000	-12.428821	-11.375011	529	0.351116896318	0.044787716891	0.005733810578	0.013318424770	0.089645287179	0.090855337152	0.369923	0.106008	0.788841744531	
19000	-10.359697	-11.301519	655	0.406074036223	-0.041178399260	0.004133582035	0.008768890126	0.066232672002	0.066818596937	0.312551	0.097455	0.405499827755	
20000	-12.163062	-11.429631	46	0.540306058647	-0.113099336703	0.006072467971	0.012896931111	0.089068239079	0.090231954379	0.350996	0.105613	0.754554266383	
21000	-14.662688	-12.597233	728	0.670869473718	-0.000514829613	0.006806548436	0.007126943049	0.063825444889	0.064283590376	0.397360	0.127356	0.225647065278	
22000	-11.570589	-12.542267	802	0.540083345905	-0.026302619550	0.004941925211	0.009897126606	0.069355903178	0.070049188869	0.332083	0.104764	0.454684751263	
23000	-10.803965	-12.476770	323	0.313553919263	0.029202471900	0.004247432212	0.009142592919	0.067032063200	0.067650564775	0.322243	0.099697	0.530164065380	
24000	-12.122625	-12.455238	763	0.374640029637	-0.139370020441	0.005076169231	0.006966919872	0.063952501268	0.064401179123	0.343215	0.110007	0.204543070833	
25000	-12.036778	-12.432178	353	0.621993068520	-0.148902866256	0.005235805991	0.009693760112	0.072944674002	0.073658703807	0.350697	0.108201	0.535062710108	
26000	-11.308647	-12.389083	341	0.349474299066	0.017005441887	0.005055939526	0.011204858018	0.081514831820	0.082438544001	0.346605	0.100841	0.683500679121	
27000	-10.821828	-12.341413	311	0.226919806961	-0.001961354266	0.004610606338	0.008543325783	0.077487302343	0.078155006021	0.326328	0.099217	0.578748511967	
28000	-10.553401	-12.294047	184	0.407285623526	-0.020502329264	0.004041682722	0.008169660095	0.062953657852	0.063472204185	0.312157	0.099380	0.355411942630	
29000	-9.558789	-12.243578	890	-0.050621581445	0.088059980050	0.003513797944	0.006666668504	0.058484251365	0.058876763228	0.293677	0.095160	0.104939221528	
30000	-11.670207	-12.221517	90	-0.497218864820	0.187136391168	0.005143169352	0.008008472755	0.071515310782	0.072092662909	0.337526	0.106249	0.362115694054	
31000	-12.479255	-12.235420	136	-0.426727619646	0.161351231839	0.006117132089	0.022285106403	0.094402728770	0.096554455075	0.364175	0.104262	0.892142043499	
32000	-12.337202	-12.240278	727	-0.647054502045	0.274992288994	0.005297953665	0.006630387504	0.063964143896	0.064391081720	0.346570	0.111757	0.145128071147	
33000	-9.743422	-12.199563	247	-0.154687527147	0.110636062369	0.003833216670	0.006535744956	0.062266038595	0.062675670794	0.297534	0.095966	0.096487032518	
34000	-10.568495	-12.165476	550	0.150809775652	0.024198273158	0.004274975346	0.009301456723	0.072482408319	0.073162930148	0.320159	0.098177	0.581140696648	
35000	-9.721869	-12.128267	770	0.214003496844	0.002773278842	0.003823306417	0.007239703270	0.064382234894	0.064851742265	0.297824	0.095655	0.240625022768	
36000	-10.619305	-12.097853	347	0.065931407853	0.046080670573	0.004818353831	0.013667483356	0.081893730836	0.083028521776	0.326450	0.096378	0.730710387321	
37000	-10.559880	-12.068340	834	-0.205944082230	0.163780490294	0.004145473183	0.006855246210	0.062449566167	0.062880628357	0.313590	0.100405	0.189451133441	
38000	-13.291399	-12.150498	517	-0.216439498071	-0.009716006516	0.006929064601	0.014601871682	0.088959197615	0.090277416872	0.373471	0.113256	0.745612501633	
39000	-11.136042	-12.128274	436	0.202822231520	-0.063547424327	0.004254516757	0.008524913841	0.064322201199	0.064875257176	0.326878	0.102646	0.457073781323	
40000	-16.348240	-13.302109	377	-1.213525144858	0.386739264855	0.009272795521	0.011721038135	0.080858538003	0.081817524325	0.448348	0.136916	0.676905808608	
41000	-12.096565	-13.279254	253	0.483814985290	-0.074038437294	0.005884519485	0.014534034959	0.090546573846	0.091881989899	0.353473	0.104070	0.869872765094	
42000	-10.069098	-13.248806	887	0.072206310935	-0.005387614860	0.003706332908	0.006497102856	0.057517430305	0.057893570789	0.302883	0.097995	0.084673186581	
43000	-12.357107	-13.230764	254	0.289735849750	-0.099388639141	0.005767720106	0.014978747743	0.083323245068	0.084590301861	0.358958	0.107091	0.793911154687	
44000	-10.166402	-13.202325	125	0.220429563934	0.033351280254	0.003905396620	0.007011843326	0.063617353610	0.064066578420	0.305517	0.097075	0.305068600405	
45000	-11.114464	-13.176976	232	-0.021480629825	0.065038886716	0.005286886999	0.011724958184	0.089508935009	0.090570874728	0.325751	0.100448	0.739191147908	
46000	-13.170392	-13.176794	369	-0.079700905131	-0.039207091037	0.006570249974	0.010082825173	0.090486082732	0.091407730902	0.374918	0.113268	0.692879510717	
47000	-10.928510	-13.152323	982	0.599185470764	-0.088946344968	0.004744705000	0.006731593900	0.067449522524	0.067906642464	0.319006	0.102700	0.124803360789	
