Options:
Model:                           Continuous: Regression
Tree File Name:                  17species_MNeCau_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_MNeCau.txt
Log File Name:                   Eco_MNeCau.txt.log.txt
Summary:                         False
Seed                             1961915607
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       17
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	-9.620109	-9.620109	80	0.033826123351	0.082501564474	0.003467225858	0.006301619806	0.055959335299	0.056314206015	0.295020	0.095767	0.020693034313	
12000	-10.255706	-9.987577	192	0.042070646618	0.004239582053	0.003726566807	0.006841076431	0.059719898098	0.060131260648	0.309855	0.098425	0.264011184072	
13000	-12.840233	-11.850817	638	-0.403357975472	0.090607486706	0.005265473951	0.006732476963	0.059573136626	0.059976929925	0.357759	0.115116	0.115845217336	
14000	-11.481603	-11.770495	628	-0.044513399982	0.069211423214	0.005846222070	0.019179079437	0.098918654572	0.100852920751	0.349599	0.098796	0.871195741043	
15000	-14.074868	-12.801392	78	0.362847375441	-0.157899026126	0.007360038850	0.018880563723	0.093777271847	0.095581912232	0.409915	0.115335	0.886472784832	
16000	-10.915240	-12.648950	63	-0.370639715751	0.166327953613	0.004370259888	0.008109839486	0.065069662407	0.065601681514	0.322325	0.101954	0.354604135628	
17000	-10.899491	-12.523366	583	-0.211775132451	0.088036942552	0.004573336880	0.008358423509	0.072431216761	0.073041730478	0.322219	0.101579	0.516944225642	
18000	-15.641350	-13.831725	991	0.391399838946	0.172572587463	0.009110633019	0.013959801578	0.092495171702	0.093804666230	0.437278	0.129821	0.768064015169	
19000	-10.034866	-13.716743	565	0.013513660063	0.036591967268	0.004205978086	0.007986214083	0.070313077222	0.070879133154	0.305440	0.095970	0.392373996872	
20000	-11.904569	-13.629364	814	-0.328922059658	0.106034747951	0.005407077869	0.013392632574	0.083857801670	0.084996123522	0.351990	0.104139	0.763122359407	
21000	-10.580448	-13.538784	968	-0.155641983986	0.095846631001	0.004374392383	0.008866974418	0.071673191061	0.072314401005	0.312709	0.098249	0.524329809896	
22000	-10.919815	-13.458376	389	-0.045010160359	0.142466318093	0.004448358083	0.009096985270	0.067301082166	0.067918939761	0.323055	0.101108	0.462036879620	
23000	-9.210771	-13.379524	877	0.206357673612	-0.006007063338	0.003794581576	0.006211592258	0.063933437698	0.064333048363	0.287946	0.093567	0.000117715785	
24000	-11.642809	-13.318871	923	0.351863865108	-0.074508195651	0.005356014334	0.010659142440	0.084134629627	0.085041094769	0.338857	0.104307	0.682928243853	
25000	-12.038162	-13.269529	196	-0.338194916706	0.236117481356	0.004646023542	0.007273270543	0.059823107654	0.060261405157	0.342442	0.109051	0.263465832128	
26000	-10.171057	-13.207994	718	-0.068326504719	0.078690605478	0.004096811051	0.010008031456	0.068530329955	0.069223117088	0.306920	0.095461	0.499164721604	
27000	-10.239961	-13.150577	673	0.375651093636	-0.033944254103	0.003993307671	0.007473400253	0.064502215009	0.064987895565	0.308349	0.098153	0.348168602983	
28000	-10.141769	-13.096318	749	0.036994584714	0.015405400115	0.003901771792	0.007478327076	0.063950111928	0.064431955163	0.307809	0.097316	0.322398572078	
29000	-10.711743	-13.047356	77	0.424725194288	-0.070071675024	0.003977894398	0.009282394635	0.062669334367	0.063256506221	0.316646	0.099560	0.500021791141	
30000	-9.880997	-12.998279	816	0.229828868828	-0.045709132252	0.003735841039	0.006243395218	0.058457543707	0.058824810246	0.299573	0.097242	0.015442805104	
31000	-10.310381	-12.952884	750	-0.118248146052	0.108750869119	0.004441550469	0.009016781335	0.073124519053	0.073789866141	0.310366	0.097627	0.451186569446	
32000	-11.752119	-12.920594	76	0.508829882741	-0.011235298796	0.004831854501	0.008130609697	0.066108750823	0.066650661336	0.337411	0.107521	0.398169536582	
