Options:
Model:                           Continuous: Regression
Tree File Name:                  15species_MNeEu_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_MNeEu.txt
Log File Name:                   Eco_MNeEu.txt.log.txt
Summary:                         False
Seed                             1877500279
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       15
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	-46.417729	-46.417729	650	-2.109530912945	0.907027220103	0.522278134732	0.045031967166	6.793531488227	7.113883663799	3.860686	1.219684	0.136659157448	
12000	-47.300287	-46.953366	223	0.514491122378	1.536966571370	0.679990160754	0.033454642109	9.175361020173	9.492944066474	4.084517	1.249105	0.474134399633	
13000	-45.491298	-46.657543	575	2.506202283221	0.238993791940	0.494405184929	0.048628460902	7.151124677130	7.516647685208	3.626179	1.150888	0.097693117949	
14000	-45.562706	-46.475600	650	-0.997748809036	1.103389205762	0.468349682240	0.041983339207	6.960892001748	7.265940444072	3.650547	1.149309	0.190180872102	
15000	-45.289057	-46.326003	26	2.109112665877	0.217286632549	0.475569975747	0.052895882967	6.894366407116	7.279417630151	3.575936	1.138081	0.010260489560	
16000	-46.274545	-46.317608	68	-1.422573411409	2.027513399247	0.547824657970	0.052941365460	6.962670990914	7.351890091050	3.819177	1.215347	0.008096183191	
17000	-47.169096	-46.493136	204	-0.539417966825	0.234610203279	0.673343119959	0.030751715426	8.947323598667	9.231198797116	4.102827	1.266787	0.425767600550	
18000	-48.089439	-46.893149	286	-6.147176908590	3.552148786474	0.676937329827	0.042608346875	7.272998326869	7.596680316911	4.321345	1.354517	0.225155003140	
19000	-45.059053	-46.795139	361	-1.135472187692	1.253302224845	0.493314860490	0.053135037907	7.362307124254	7.775456288906	3.521855	1.121121	0.004218241826	
20000	-46.439282	-46.764739	544	5.256534958399	-0.428170742084	0.513004106935	0.045933688067	6.678087724311	6.999605416083	3.869688	1.219112	0.144353849031	
21000	-45.030359	-46.686926	101	0.265784108737	0.900166834981	0.503707769266	0.053169804392	7.543946258456	7.967580980679	3.515374	1.118953	0.003265352942	
22000	-46.005597	-46.644883	485	1.773316353601	0.940334554096	0.510303765188	0.049775790788	6.871119648969	7.231050927094	3.749273	1.188164	0.070372607406	
