Options:
Model:                           Continuous: Regression
Tree File Name:                  25species_TinNeCau_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_T_in_NeCau.txt
Log File Name:                   Eco_T_in_NeCau.txt.log.txt
Summary:                         False
Seed                             1377068286
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      1000
     Taxa:                       25
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	-59.564627	-59.564627	627	4.875561471224	-0.779882177017	0.164421191407	0.133914536836	4.087542434465	4.719560145408	1.625398	0.398951	0.546772153398	
12000	-60.330875	-60.019415	507	6.724207526818	-0.762631785515	0.199752919308	0.135240724715	4.703085441991	5.438606530636	1.812435	0.405102	0.825088277913	
13000	-59.138107	-59.802187	547	3.842384726077	-0.598002856649	0.129379367008	0.145764586167	3.047410834207	3.567413367393	1.512953	0.417098	0.012498674481	
14000	-60.832765	-60.174213	16	7.361204060708	-1.034983483821	0.229878471867	0.127226545784	5.422053443465	6.212440831322	1.855441	0.412808	0.851659934633	
15000	-61.066475	-60.427404	523	8.475913718266	-1.485616796325	0.168759544648	0.141948899040	3.561815677953	4.151053094589	1.688748	0.441410	0.169744677786	
16000	-61.906096	-60.874992	135	4.488065772914	-1.137136930129	0.173248418308	0.137609337762	3.475622845271	4.030218551131	1.769827	0.452260	0.283165394599	
17000	-60.322651	-60.812448	997	4.364424381833	-0.866333079427	0.154758307945	0.133151973617	3.660736016235	4.223042453599	1.685918	0.418930	0.376770655637	
18000	-60.395425	-60.768889	654	3.743374295473	-0.724422758309	0.156843932336	0.135574242394	3.579445020515	4.140835680820	1.656335	0.425716	0.291632589775	
19000	-61.821375	-60.957189	902	1.519801696121	0.153022380618	0.176913305009	0.127390411724	3.598807546871	4.124189781114	1.779122	0.438726	0.534907077507	
20000	-60.561239	-60.923947	289	6.785624523261	-1.206728375403	0.186103986297	0.128794359178	4.462763058335	5.122513961370	1.791840	0.417926	0.700085589083	
21000	-59.463973	-60.851595	409	3.870670347210	-0.651934788581	0.123057379016	0.144516457704	2.867616474709	3.352041661740	1.545104	0.419352	0.067482167757	
22000	-60.435300	-60.822808	747	7.218037247218	-1.119797537586	0.185029277877	0.121653763270	4.361158869087	4.965193322082	1.743927	0.405891	0.692926549953	
23000	-61.669041	-60.920274	692	3.697707246922	-0.900020318936	0.191860915802	0.122425920882	4.249032308386	4.841793313513	1.869238	0.434119	0.648250190011	
24000	-59.777391	-60.870400	884	5.938240484619	-0.691089610803	0.185979796944	0.134197502301	4.558676339815	5.265261248302	1.852438	0.384206	0.925105835100	
25000	-60.898864	-60.872323	761	6.033843615888	-1.314360677744	0.163320203619	0.135123662500	3.701868978512	4.280229228159	1.771543	0.426865	0.521789558211	
26000	-58.899366	-60.817012	129	5.524614714347	-0.957542819488	0.146821697184	0.142679420498	3.647551110695	4.254594136554	1.534295	0.407075	0.130424223750	
27000	-59.460747	-60.772360	791	4.347172419882	-0.577610006285	0.144002954949	0.136182236428	3.553484355540	4.113696783506	1.585509	0.409328	0.321588947833	
28000	-60.407111	-60.755215	233	6.195197929262	-1.129782698190	0.185147017325	0.127894255918	4.477286162762	5.133879914382	1.812960	0.410165	0.726865651560	
29000	-59.223519	-60.713086	678	5.773597473416	-0.890284914242	0.145089614256	0.141673724178	3.602711011803	4.197367729830	1.581611	0.406359	0.257198230663	
30000	-61.827360	-60.810546	537	6.252298487971	-1.422518043453	0.234862005905	0.122444778746	5.029953198708	5.731779695322	1.957160	0.422161	0.810042934584	
