Options:
Model:                           Continuous: Regression
Tree File Name:                  23species_TinNeEu_1000tree_NSF_forBayestrait.tre
Data File Name:                  Eco_T_in_NeEu.txt
Log File Name:                   Eco_T_in_NeEu.txt.log.txt
Summary:                         False
Seed                             1663596300
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa                            Not in use
Delta                            Not in use
Lambda                           Estimate
OU                               Not in use
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Prior Categories:            100
    Alpha                        uniform -100.00 100.00 
    Beta-2                       uniform -100.00 100.00 
Tree Information
     Trees:                      999
     Taxa:                       23
     Sites:                      1
Iteration	Lh	Harmonic Mean	Tree No	Alpha	Beta 2	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-2	Lambda	
11000	-48.733474	-48.733474	891	2.398562536771	-0.076239861244	0.083589769655	0.067631385087	1.742826360054	1.869246060172	1.254969	0.332818	0.080762451955	
12000	-48.520689	-48.632730	876	3.594463839074	-0.592088485956	0.092468254730	0.061711852074	2.087900466946	2.225223106102	1.300560	0.320841	0.308831943703	
13000	-50.105039	-49.384034	694	2.650254022832	-0.627729708690	0.106271973309	0.061042345770	2.103618959713	2.240376815969	1.393299	0.340626	0.442413378955	
14000	-49.281644	-49.359403	368	1.587215109516	-0.127336302294	0.106925834560	0.055468059390	2.363586433904	2.502389101184	1.449380	0.312413	0.794626736315	
15000	-49.750136	-49.450717	569	4.270528348364	-0.324534008625	0.093064563608	0.064575381847	1.907701804461	2.039396619929	1.467060	0.325388	0.686134121728	
16000	-49.540926	-49.466328	614	4.276627684117	-0.642867608033	0.134600784908	0.057270753493	2.974233982698	3.154918544976	1.464387	0.314002	0.818324670160	
17000	-47.953729	-49.348242	681	3.474354715503	-0.604508908107	0.073862005847	0.067257495221	1.651959367488	1.771077611478	1.214969	0.322242	0.075762370609	
18000	-49.281696	-49.340162	540	3.870128088363	-0.390386127622	0.081200161405	0.066902253021	1.631155557620	1.748107915704	1.295707	0.339992	0.108547772277	
19000	-49.511351	-49.360696	22	1.973887709456	0.009837526650	0.095830718734	0.060341168243	2.052708643512	2.184525461943	1.446231	0.322995	0.669005348075	
20000	-48.700095	-49.311142	423	4.514339001650	-0.765044983713	0.089108679224	0.064123148147	1.924158001873	2.055994865204	1.273640	0.327350	0.193478996072	
21000	-52.136713	-50.204278	336	2.228322678185	0.329556953820	0.153007299076	0.061917926381	2.585403573162	2.756052637470	1.676650	0.345014	0.929775637828	
22000	-52.801701	-50.915146	784	1.776992562926	-0.721422649888	0.168356657828	0.057018224166	2.837184671909	3.008737543628	1.658091	0.362521	0.836794218033	
23000	-50.940128	-50.917090	535	3.675819171379	-0.914737780392	0.114157264988	0.063402576689	2.058643982041	2.198003038234	1.424067	0.355757	0.275346622223	
24000	-48.199519	-50.848049	479	1.971003658035	-0.080786985387	0.082271518761	0.067285956545	1.806240548482	1.936542674742	1.228919	0.325031	0.086303091030	
25000	-51.407563	-50.896827	650	3.864910924803	-0.995417750469	0.115496899123	0.062478033295	2.058458922956	2.195638071490	1.523670	0.359999	0.461987720462	
26000	-48.940393	-50.841669	539	2.446705845787	-0.360800060671	0.087185269727	0.060062867410	1.972910338340	2.098981165796	1.380064	0.324380	0.471605912646	
27000	-48.126803	-50.785174	173	2.254339677882	-0.300957855047	0.084084559400	0.066683907341	1.868130954935	2.001605854254	1.230582	0.322940	0.112447734762	
28000	-48.065912	-50.731886	186	3.309003725036	-0.501421014868	0.073556381668	0.064932962250	1.683784427660	1.800709852538	1.253151	0.319088	0.184112358281	
29000	-48.507342	-50.683807	883	4.222560168156	-0.755413749455	0.081657948954	0.065458936265	1.782210972881	1.907044047652	1.268426	0.325960	0.199218899042	
30000	-51.443119	-50.739091	872	2.223668404480	-0.675417163572	0.117666276960	0.060433138951	2.163449668196	2.302603207802	1.555778	0.357594	0.530309126540	
31000	-50.204426	-50.719173	991	0.329880221406	0.195903548469	0.097541449152	0.063871746164	1.859066256233	1.985909781715	1.357153	0.350665	0.230416479466	
32000	-49.703529	-50.689752	310	4.993073693334	-0.713837775542	0.098512666677	0.059498528895	2.049205889684	2.178843896200	1.390384	0.329687	0.485141091192	
33000	-49.725447	-50.662482	711	2.024480636884	0.055743362700	0.091047754733	0.061884284955	1.856471825184	1.978936921544	1.349788	0.339315	0.292533742531	
34000	-48.797207	-50.626632	772	4.741895700183	-0.739389669080	0.083718640431	0.068270224334	1.715222113791	1.840900826169	1.252039	0.336241	0.040858417980	
35000	-51.362892	-50.669236	661	1.043205792397	-0.261090282402	0.139185560728	0.052307425119	2.933599813406	3.095518410888	1.698586	0.352400	0.885210285240	
36000	-49.620364	-50.643931	665	1.759410771518	-0.277444878614	0.096879340670	0.057350997961	2.120003299530	2.248984823561	1.417925	0.321044	0.606662636749	
37000	-50.493187	-50.638735	657	2.829549946921	-0.655875909818	0.144784399260	0.048699743422	3.051800531503	3.208030808781	1.650717	0.335199	0.982576552887	
38000	-47.787996	-50.604506	680	4.056697147612	-0.628788912702	0.077146814825	0.069528151648	1.708692265379	1.836371802550	1.195557	0.322962	0.005645407149	
39000	-49.282597	-50.578892	989	1.326731659892	-0.057120652955	0.094918081621	0.062334843586	2.031149190403	2.166177527776	1.338004	0.327639	0.381194572001	
