divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0,0,0,0,0,0	0.003	0.0153213161201	0:0.00611410144[&age_median=0.00611410144,age_mean=0.00711818928333,age_n=3,age_range={0.00090097952,0.01433948689},age_hpdi_95={0.00090097952,0.01433948689},age_qi_95={0.001161635616,0.0139282176175}]
0,1,2,3,4,5,3,6,7,8,9	0.002	0.0153012321276	0:0.006688611955[&age_median=0.006688611955,age_mean=0.006688611955,age_n=2,age_range={0.00293459035,0.01044263356},age_hpdi_95={0.00293459035,0.01044263356},age_qi_95={0.00312229143025,0.0102549324797}],1:0.01702596104[&age_median=0.01702596104,age_mean=0.01702596104,age_n=2,age_range={0.00061743126,0.03343449082},age_hpdi_95={0.00061743126,0.03343449082},age_qi_95={0.001437857749,0.032614064331}],2:0.003593233645[&age_median=0.003593233645,age_mean=0.003593233645,age_n=2,age_range={0.00301601769,0.0041704496},age_hpdi_95={0.00301601769,0.0041704496},age_qi_95={0.00304487848775,0.00414158880225}],3:0.0011362266[&age_median=0.0011362266,age_mean=0.0011362266,age_n=2,age_range={0.00110559408,0.00116685912},age_hpdi_95={0.00110559408,0.00116685912},age_qi_95={0.001107125706,0.001165327494}],4:0.012434875275[&age_median=0.012434875275,age_mean=0.012434875275,age_n=2,age_range={0.0051699896,0.01969976095},age_hpdi_95={0.0051699896,0.01969976095},age_qi_95={0.00553323388375,0.0193365166662}],5:0.006617428[&age_median=0.006617428,age_mean=0.006617428,age_n=2,age_range={0.00062358882,0.01261126718},age_hpdi_95={0.00062358882,0.01261126718},age_qi_95={0.000923280779,0.012311575221}],6:0.01748497691[&age_median=0.01748497691,age_mean=0.01748497691,age_n=2,age_range={0.0114805641,0.02348938972},age_hpdi_95={0.0114805641,0.02348938972},age_qi_95={0.0117807847405,0.0231891690795}],7:0.0185269997[&age_median=0.0185269997,age_mean=0.0185269997,age_n=2,age_range={0.00695188003,0.03010211937},age_hpdi_95={0.00695188003,0.03010211937},age_qi_95={0.0075306360135,0.0295233633865}],8:0.00144402822[&age_median=0.00144402822,age_mean=0.00144402822,age_n=2,age_range={0.00087086174,0.0020171947},age_hpdi_95={0.00087086174,0.0020171947},age_qi_95={0.000899520064,0.001988536376}],9:0.014945307715[&age_median=0.014945307715,age_mean=0.014945307715,age_n=2,age_range={0.0094374551,0.02045316033},age_hpdi_95={0.0094374551,0.02045316033},age_qi_95={0.00971284773075,0.0201777676993}]
0,1,2,3,4,5,5,6,7,4,4	0.001	0.0152747173	0:0.00516238555[&age_median=0.00516238555,age_mean=0.00516238555,age_n=1,age_range={0.00516238555,0.00516238555},age_hpdi_95={0.00516238555,0.00516238555},age_qi_95={0.00516238555,0.00516238555}],1:0.02229392818[&age_median=0.02229392818,age_mean=0.02229392818,age_n=1,age_range={0.02229392818,0.02229392818},age_hpdi_95={0.02229392818,0.02229392818},age_qi_95={0.02229392818,0.02229392818}],2:0.00353166461[&age_median=0.00353166461,age_mean=0.00353166461,age_n=1,age_range={0.00353166461,0.00353166461},age_hpdi_95={0.00353166461,0.00353166461},age_qi_95={0.00353166461,0.00353166461}],3:5.026822e-05[&age_median=5.026822e-05,age_mean=5.026822e-05,age_n=1,age_range={5.026822e-05,5.026822e-05},age_hpdi_95={5.026822e-05,5.026822e-05},age_qi_95={5.026822e-05,5.026822e-05}],4:0.00674715674[&age_median=0.00674715674,age_mean=0.00674715674,age_n=1,age_range={0.00674715674,0.00674715674},age_hpdi_95={0.00674715674,0.00674715674},age_qi_95={0.00674715674,0.00674715674}],5:0.00465975171[&age_median=0.00465975171,age_mean=0.00465975171,age_n=1,age_range={0.00465975171,0.00465975171},age_hpdi_95={0.00465975171,0.00465975171},age_qi_95={0.00465975171,0.00465975171}],6:0.00845572604[&age_median=0.00845572604,age_mean=0.00845572604,age_n=1,age_range={0.00845572604,0.00845572604},age_hpdi_95={0.00845572604,0.00845572604},age_qi_95={0.00845572604,0.00845572604}],7:0.02588379258[&age_median=0.02588379258,age_mean=0.02588379258,age_n=1,age_range={0.02588379258,0.02588379258},age_hpdi_95={0.02588379258,0.02588379258},age_qi_95={0.02588379258,0.02588379258}]
0,0,1,2,3,4,3,5,4,5,4	0.001	0.0152418705732	0:9.46961e-05[&age_median=9.46961e-05,age_mean=9.46961e-05,age_n=1,age_range={9.46961e-05,9.46961e-05},age_hpdi_95={9.46961e-05,9.46961e-05},age_qi_95={9.46961e-05,9.46961e-05}],1:0.00430176294[&age_median=0.00430176294,age_mean=0.00430176294,age_n=1,age_range={0.00430176294,0.00430176294},age_hpdi_95={0.00430176294,0.00430176294},age_qi_95={0.00430176294,0.00430176294}],2:0.00941438501[&age_median=0.00941438501,age_mean=0.00941438501,age_n=1,age_range={0.00941438501,0.00941438501},age_hpdi_95={0.00941438501,0.00941438501},age_qi_95={0.00941438501,0.00941438501}],3:0.01016238523[&age_median=0.01016238523,age_mean=0.01016238523,age_n=1,age_range={0.01016238523,0.01016238523},age_hpdi_95={0.01016238523,0.01016238523},age_qi_95={0.01016238523,0.01016238523}],4:0.0170488567[&age_median=0.0170488567,age_mean=0.0170488567,age_n=1,age_range={0.0170488567,0.0170488567},age_hpdi_95={0.0170488567,0.0170488567},age_qi_95={0.0170488567,0.0170488567}],5:0.00227955624[&age_median=0.00227955624,age_mean=0.00227955624,age_n=1,age_range={0.00227955624,0.00227955624},age_hpdi_95={0.00227955624,0.00227955624},age_qi_95={0.00227955624,0.00227955624}]
0,1,2,1,2,2,0,3,2,4,1	0.001	0.0152026919473	0:0.00741941632[&age_median=0.00741941632,age_mean=0.00741941632,age_n=1,age_range={0.00741941632,0.00741941632},age_hpdi_95={0.00741941632,0.00741941632},age_qi_95={0.00741941632,0.00741941632}],1:0.00425967477[&age_median=0.00425967477,age_mean=0.00425967477,age_n=1,age_range={0.00425967477,0.00425967477},age_hpdi_95={0.00425967477,0.00425967477},age_qi_95={0.00425967477,0.00425967477}],2:0.02197611603[&age_median=0.02197611603,age_mean=0.02197611603,age_n=1,age_range={0.02197611603,0.02197611603},age_hpdi_95={0.02197611603,0.02197611603},age_qi_95={0.02197611603,0.02197611603}],3:0.02728584708[&age_median=0.02728584708,age_mean=0.02728584708,age_n=1,age_range={0.02728584708,0.02728584708},age_hpdi_95={0.02728584708,0.02728584708},age_qi_95={0.02728584708,0.02728584708}],4:0.02675078264[&age_median=0.02675078264,age_mean=0.02675078264,age_n=1,age_range={0.02675078264,0.02675078264},age_hpdi_95={0.02675078264,0.02675078264},age_qi_95={0.02675078264,0.02675078264}]
0,1,2,3,1,0,4,1,4,3,2	0.001	0.0151572803582	0:0.00550998442[&age_median=0.00550998442,age_mean=0.00550998442,age_n=1,age_range={0.00550998442,0.00550998442},age_hpdi_95={0.00550998442,0.00550998442},age_qi_95={0.00550998442,0.00550998442}],1:0.00225998146[&age_median=0.00225998146,age_mean=0.00225998146,age_n=1,age_range={0.00225998146,0.00225998146},age_hpdi_95={0.00225998146,0.00225998146},age_qi_95={0.00225998146,0.00225998146}],2:0.00956834606[&age_median=0.00956834606,age_mean=0.00956834606,age_n=1,age_range={0.00956834606,0.00956834606},age_hpdi_95={0.00956834606,0.00956834606},age_qi_95={0.00956834606,0.00956834606}],3:0.00669458566[&age_median=0.00669458566,age_mean=0.00669458566,age_n=1,age_range={0.00669458566,0.00669458566},age_hpdi_95={0.00669458566,0.00669458566},age_qi_95={0.00669458566,0.00669458566}],4:0.02730063509[&age_median=0.02730063509,age_mean=0.02730063509,age_n=1,age_range={0.02730063509,0.02730063509},age_hpdi_95={0.02730063509,0.02730063509},age_qi_95={0.02730063509,0.02730063509}]
0,0,0,1,0,1,2,3,4,3,1	0.001	0.0151057347418	0:0.01309124016[&age_median=0.01309124016,age_mean=0.01309124016,age_n=1,age_range={0.01309124016,0.01309124016},age_hpdi_95={0.01309124016,0.01309124016},age_qi_95={0.01309124016,0.01309124016}],1:0.01763969377[&age_median=0.01763969377,age_mean=0.01763969377,age_n=1,age_range={0.01763969377,0.01763969377},age_hpdi_95={0.01763969377,0.01763969377},age_qi_95={0.01763969377,0.01763969377}],2:0.0317486924[&age_median=0.0317486924,age_mean=0.0317486924,age_n=1,age_range={0.0317486924,0.0317486924},age_hpdi_95={0.0317486924,0.0317486924},age_qi_95={0.0317486924,0.0317486924}],3:0.00195244579[&age_median=0.00195244579,age_mean=0.00195244579,age_n=1,age_range={0.00195244579,0.00195244579},age_hpdi_95={0.00195244579,0.00195244579},age_qi_95={0.00195244579,0.00195244579}],4:0.02406602106[&age_median=0.02406602106,age_mean=0.02406602106,age_n=1,age_range={0.02406602106,0.02406602106},age_hpdi_95={0.02406602106,0.02406602106},age_qi_95={0.02406602106,0.02406602106}]
0,1,1,2,3,1,4,1,5,3,0	0.001	0.0150481540341	0:0.00755086937[&age_median=0.00755086937,age_mean=0.00755086937,age_n=1,age_range={0.00755086937,0.00755086937},age_hpdi_95={0.00755086937,0.00755086937},age_qi_95={0.00755086937,0.00755086937}],1:0.00916696815[&age_median=0.00916696815,age_mean=0.00916696815,age_n=1,age_range={0.00916696815,0.00916696815},age_hpdi_95={0.00916696815,0.00916696815},age_qi_95={0.00916696815,0.00916696815}],2:0.0019879542[&age_median=0.0019879542,age_mean=0.0019879542,age_n=1,age_range={0.0019879542,0.0019879542},age_hpdi_95={0.0019879542,0.0019879542},age_qi_95={0.0019879542,0.0019879542}],3:0.02208882669[&age_median=0.02208882669,age_mean=0.02208882669,age_n=1,age_range={0.02208882669,0.02208882669},age_hpdi_95={0.02208882669,0.02208882669},age_qi_95={0.02208882669,0.02208882669}],4:0.00609970785[&age_median=0.00609970785,age_mean=0.00609970785,age_n=1,age_range={0.00609970785,0.00609970785},age_hpdi_95={0.00609970785,0.00609970785},age_qi_95={0.00609970785,0.00609970785}],5:0.00113553079[&age_median=0.00113553079,age_mean=0.00113553079,age_n=1,age_range={0.00113553079,0.00113553079},age_hpdi_95={0.00113553079,0.00113553079},age_qi_95={0.00113553079,0.00113553079}]
0,1,1,0,2,1,1,0,1,1,0	0.001	0.0149846371709	0:0.01411710802[&age_median=0.01411710802,age_mean=0.01411710802,age_n=1,age_range={0.01411710802,0.01411710802},age_hpdi_95={0.01411710802,0.01411710802},age_qi_95={0.01411710802,0.01411710802}],1:0.0053570079[&age_median=0.0053570079,age_mean=0.0053570079,age_n=1,age_range={0.0053570079,0.0053570079},age_hpdi_95={0.0053570079,0.0053570079},age_qi_95={0.0053570079,0.0053570079}],2:0.00865710728[&age_median=0.00865710728,age_mean=0.00865710728,age_n=1,age_range={0.00865710728,0.00865710728},age_hpdi_95={0.00865710728,0.00865710728},age_qi_95={0.00865710728,0.00865710728}]
0,1,1,2,1,0,2,3,0,4,3	0.001	0.0149151841523	0:0.01280378539[&age_median=0.01280378539,age_mean=0.01280378539,age_n=1,age_range={0.01280378539,0.01280378539},age_hpdi_95={0.01280378539,0.01280378539},age_qi_95={0.01280378539,0.01280378539}],1:0.00751379258[&age_median=0.00751379258,age_mean=0.00751379258,age_n=1,age_range={0.00751379258,0.00751379258},age_hpdi_95={0.00751379258,0.00751379258},age_qi_95={0.00751379258,0.00751379258}],2:0.01982174422[&age_median=0.01982174422,age_mean=0.01982174422,age_n=1,age_range={0.01982174422,0.01982174422},age_hpdi_95={0.01982174422,0.01982174422},age_qi_95={0.01982174422,0.01982174422}],3:0.00091179432[&age_median=0.00091179432,age_mean=0.00091179432,age_n=1,age_range={0.00091179432,0.00091179432},age_hpdi_95={0.00091179432,0.00091179432},age_qi_95={0.00091179432,0.00091179432}],4:0.01900185379[&age_median=0.01900185379,age_mean=0.01900185379,age_n=1,age_range={0.01900185379,0.01900185379},age_hpdi_95={0.01900185379,0.01900185379},age_qi_95={0.01900185379,0.01900185379}]
