number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	0.0154861	1	3.21408e-11	0.00090098	2.27396	0	254.969	0	2.82289e-13
2	1.997	0.0154658	1.00901	3.35358e-11	0.00091729	2.53972	3.71552e-05	256.135	0.00247825	3.4836e-13
3	2.99399	0.015439	1.01802	3.49756e-11	0.000933601	2.8333	7.43105e-05	257.353	0.0049565	4.29506e-13
4	3.99099	0.0154058	1.02703	3.6461e-11	0.000949912	3.15724	0.000111466	258.619	0.00743474	5.29076e-13
5	4.98799	0.0153662	1.03604	3.79929e-11	0.000966223	3.51425	0.000148621	259.929	0.00991299	6.51141e-13
6	5.98498	0.0153203	1.04505	3.95722e-11	0.000982534	3.90724	0.000185776	261.277	0.0123912	8.0065e-13
7	6.98198	0.0152682	1.05405	4.11997e-11	0.000998845	4.33934	0.000222931	262.658	0.0148695	9.8361e-13
8	7.97898	0.01521	1.06306	4.28764e-11	0.00101516	4.81387	0.000260087	264.064	0.0173477	1.20731e-12
9	8.97598	0.0151458	1.07207	4.46032e-11	0.00103147	5.3344	0.000297242	265.491	0.019826	1.48057e-12
10	9.97297	0.0150756	1.08108	4.63811e-11	0.00104778	5.90472	0.000334397	266.93	0.0223042	1.81409e-12
11	10.97	0.0149997	1.09009	4.82112e-11	0.00106409	6.52887	0.000371552	268.375	0.0247825	2.22081e-12
12	11.967	0.014918	1.0991	5.00944e-11	0.0010804	7.21113	0.000408708	269.818	0.0272607	2.71636e-12
13	12.964	0.0148308	1.10811	5.20321e-11	0.00109671	7.95607	0.000445863	271.252	0.029739	3.31963e-12
14	13.961	0.0147382	1.11712	5.40253e-11	0.00111302	8.7685	0.000483018	272.668	0.0322172	4.05344e-12
15	14.958	0.0146402	1.12613	5.60755e-11	0.00112933	9.65353	0.000520173	274.059	0.0346955	4.94528e-12
16	15.955	0.0145371	1.13514	5.81839e-11	0.00114564	10.6165	0.000557329	275.415	0.0371737	6.0283e-12
17	16.952	0.014429	1.14414	6.03521e-11	0.00116195	11.6632	0.000594484	276.73	0.039652	7.34243e-12
18	17.9489	0.0143161	1.15315	6.25818e-11	0.00117826	12.7995	0.000631639	277.994	0.0421302	8.93571e-12
19	18.9459	0.0141984	1.16216	6.48746e-11	0.00119458	14.0318	0.000668794	279.199	0.0446085	1.08659e-11
20	19.9429	0.0140762	1.17117	6.72324e-11	0.00121089	15.3665	0.00070595	280.336	0.0470867	1.32025e-11
