what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	1	5.38739	0.00261362	0.0010775	0.832691
mean	0.0457838	0.627002	0.159946	0.0646867	0.319549
median	36.1418	5.47547	0.00260811	0.00180579	0.781026
quantile_50_lower_bound	17.0688	5.12823	0.00227907	0.000905012	0.646718
quantile_50_upper_bound	63.1954	5.92964	0.00293487	0.00324512	0.892587
quantile_90_lower_bound	3.73581	4.55795	0.00179869	0.000175546	0.532782
quantile_90_upper_bound	113.271	7.42649	0.00340558	0.00639213	1.15913
quantile_95_lower_bound	2.11666	4.34044	0.00164147	7.90854e-05	0.503074
quantile_95_upper_bound	129.67	7.67305	0.00356004	0.00692813	1.20512
quantile_99_lower_bound	0.824372	3.95851	0.00133761	1.03264e-06	0.448582
quantile_99_upper_bound	154.138	8.12344	0.00386603	0.00768253	1.27533
HPD_50_lower_bound	1	5.00901	0.00228801	5.53597e-07	0.589811
HPD_50_upper_bound	34.8979	5.76577	0.00293924	0.00182005	0.89466
HPD_90_lower_bound	1	4.39638	0.00181564	-2.65457e-06	0.495634
HPD_90_upper_bound	93.7207	7.56759	0.0033953	0.00624474	1.18462
HPD_95_lower_bound	1	4.33333	0.00165258	9.20015e-07	0.483252
HPD_95_upper_bound	112.664	7.65766	0.00354205	0.00638978	1.21187
HPD_99_lower_bound	1	3.92793	0.00135916	9.50346e-07	0.446086
HPD_99_upper_bound	145.565	8.07207	0.00385178	0.0074301	1.26886
