divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0,0,0,0,0,0	0.02	3.92562104019e-15	0:0.00111025952[&age_median=0.00111025952,age_mean=0.0011740900765,age_n=20,age_range={0.00029882511,0.00321814957},age_hpdi_95={0.00029882511,0.00246551034},age_qi_95={0.00029891118,0.00286064593575}]
0,0,1,1,1,0,0,1,0,0,0	0.002	4.20023086701e-15	0:0.00100817562[&age_median=0.00100817562,age_mean=0.00100817562,age_n=2,age_range={0.00050130327,0.00151504797},age_hpdi_95={0.00050130327,0.00151504797},age_qi_95={0.0005266468875,0.0014897043525}],1:0.00278480841[&age_median=0.00278480841,age_mean=0.00278480841,age_n=2,age_range={0.00070253317,0.00486708365},age_hpdi_95={0.00070253317,0.00486708365},age_qi_95={0.000806646932,0.004762969888}]
0,1,0,0,0,1,1,0,1,1,0	0.002	4.49220944564e-15	0:0.00277357397[&age_median=0.00277357397,age_mean=0.00277357397,age_n=2,age_range={0.0004966057,0.00505054224},age_hpdi_95={0.0004966057,0.00505054224},age_qi_95={0.0006104541135,0.0049366938265}],1:0.00194141039[&age_median=0.00194141039,age_mean=0.00194141039,age_n=2,age_range={0.00163336827,0.00224945251},age_hpdi_95={0.00163336827,0.00224945251},age_qi_95={0.001648770376,0.002234050404}]
0,0,0,1,0,2,1,3,1,1,1	0.001	4.80249404428e-15	0:0.00125115921[&age_median=0.00125115921,age_mean=0.00125115921,age_n=1,age_range={0.00125115921,0.00125115921},age_hpdi_95={0.00125115921,0.00125115921},age_qi_95={0.00125115921,0.00125115921}],1:0.00053608675[&age_median=0.00053608675,age_mean=0.00053608675,age_n=1,age_range={0.00053608675,0.00053608675},age_hpdi_95={0.00053608675,0.00053608675},age_qi_95={0.00053608675,0.00053608675}],2:0.00039544057[&age_median=0.00039544057,age_mean=0.00039544057,age_n=1,age_range={0.00039544057,0.00039544057},age_hpdi_95={0.00039544057,0.00039544057},age_qi_95={0.00039544057,0.00039544057}],3:0.0067818635[&age_median=0.0067818635,age_mean=0.0067818635,age_n=1,age_range={0.0067818635,0.0067818635},age_hpdi_95={0.0067818635,0.0067818635},age_qi_95={0.0067818635,0.0067818635}]
0,0,1,2,3,2,4,1,4,3,1	0.001	5.13208051045e-15	0:0.00073039091[&age_median=0.00073039091,age_mean=0.00073039091,age_n=1,age_range={0.00073039091,0.00073039091},age_hpdi_95={0.00073039091,0.00073039091},age_qi_95={0.00073039091,0.00073039091}],1:0.00062330872[&age_median=0.00062330872,age_mean=0.00062330872,age_n=1,age_range={0.00062330872,0.00062330872},age_hpdi_95={0.00062330872,0.00062330872},age_qi_95={0.00062330872,0.00062330872}],2:0.00196119561[&age_median=0.00196119561,age_mean=0.00196119561,age_n=1,age_range={0.00196119561,0.00196119561},age_hpdi_95={0.00196119561,0.00196119561},age_qi_95={0.00196119561,0.00196119561}],3:0.00130871115[&age_median=0.00130871115,age_mean=0.00130871115,age_n=1,age_range={0.00130871115,0.00130871115},age_hpdi_95={0.00130871115,0.00130871115},age_qi_95={0.00130871115,0.00130871115}],4:0.00137034485[&age_median=0.00137034485,age_mean=0.00137034485,age_n=1,age_range={0.00137034485,0.00137034485},age_hpdi_95={0.00137034485,0.00137034485},age_qi_95={0.00137034485,0.00137034485}]
0,1,2,2,1,3,0,0,1,3,1	0.001	5.48200374446e-15	0:0.00141577601[&age_median=0.00141577601,age_mean=0.00141577601,age_n=1,age_range={0.00141577601,0.00141577601},age_hpdi_95={0.00141577601,0.00141577601},age_qi_95={0.00141577601,0.00141577601}],1:0.0015404384[&age_median=0.0015404384,age_mean=0.0015404384,age_n=1,age_range={0.0015404384,0.0015404384},age_hpdi_95={0.0015404384,0.0015404384},age_qi_95={0.0015404384,0.0015404384}],2:0.00472258729[&age_median=0.00472258729,age_mean=0.00472258729,age_n=1,age_range={0.00472258729,0.00472258729},age_hpdi_95={0.00472258729,0.00472258729},age_qi_95={0.00472258729,0.00472258729}],3:0.00052670277[&age_median=0.00052670277,age_mean=0.00052670277,age_n=1,age_range={0.00052670277,0.00052670277},age_hpdi_95={0.00052670277,0.00052670277},age_qi_95={0.00052670277,0.00052670277}]
0,1,2,0,3,1,4,1,1,5,2	0.001	5.85334746271e-15	0:0.00114862488[&age_median=0.00114862488,age_mean=0.00114862488,age_n=1,age_range={0.00114862488,0.00114862488},age_hpdi_95={0.00114862488,0.00114862488},age_qi_95={0.00114862488,0.00114862488}],1:0.0013310154[&age_median=0.0013310154,age_mean=0.0013310154,age_n=1,age_range={0.0013310154,0.0013310154},age_hpdi_95={0.0013310154,0.0013310154},age_qi_95={0.0013310154,0.0013310154}],2:0.000784768[&age_median=0.000784768,age_mean=0.000784768,age_n=1,age_range={0.000784768,0.000784768},age_hpdi_95={0.000784768,0.000784768},age_qi_95={0.000784768,0.000784768}],3:0.00451447959[&age_median=0.00451447959,age_mean=0.00451447959,age_n=1,age_range={0.00451447959,0.00451447959},age_hpdi_95={0.00451447959,0.00451447959},age_qi_95={0.00451447959,0.00451447959}],4:0.00209110582[&age_median=0.00209110582,age_mean=0.00209110582,age_n=1,age_range={0.00209110582,0.00209110582},age_hpdi_95={0.00209110582,0.00209110582},age_qi_95={0.00209110582,0.00209110582}],5:0.00064737389[&age_median=0.00064737389,age_mean=0.00064737389,age_n=1,age_range={0.00064737389,0.00064737389},age_hpdi_95={0.00064737389,0.00064737389},age_qi_95={0.00064737389,0.00064737389}]
0,0,0,1,1,0,1,0,0,0,0	0.001	6.24723443442e-15	0:0.00029294456[&age_median=0.00029294456,age_mean=0.00029294456,age_n=1,age_range={0.00029294456,0.00029294456},age_hpdi_95={0.00029294456,0.00029294456},age_qi_95={0.00029294456,0.00029294456}],1:0.00129586946[&age_median=0.00129586946,age_mean=0.00129586946,age_n=1,age_range={0.00129586946,0.00129586946},age_hpdi_95={0.00129586946,0.00129586946},age_qi_95={0.00129586946,0.00129586946}]
0,1,2,0,2,3,3,3,3,4,4	0.001	6.66482648166e-15	0:0.00524605415[&age_median=0.00524605415,age_mean=0.00524605415,age_n=1,age_range={0.00524605415,0.00524605415},age_hpdi_95={0.00524605415,0.00524605415},age_qi_95={0.00524605415,0.00524605415}],1:0.00654369982[&age_median=0.00654369982,age_mean=0.00654369982,age_n=1,age_range={0.00654369982,0.00654369982},age_hpdi_95={0.00654369982,0.00654369982},age_qi_95={0.00654369982,0.00654369982}],2:0.00422603333[&age_median=0.00422603333,age_mean=0.00422603333,age_n=1,age_range={0.00422603333,0.00422603333},age_hpdi_95={0.00422603333,0.00422603333},age_qi_95={0.00422603333,0.00422603333}],3:0.00338716562[&age_median=0.00338716562,age_mean=0.00338716562,age_n=1,age_range={0.00338716562,0.00338716562},age_hpdi_95={0.00338716562,0.00338716562},age_qi_95={0.00338716562,0.00338716562}],4:0.000763251[&age_median=0.000763251,age_mean=0.000763251,age_n=1,age_range={0.000763251,0.000763251},age_hpdi_95={0.000763251,0.000763251},age_qi_95={0.000763251,0.000763251}]
0,1,2,3,4,0,0,0,4,4,3	0.001	7.10735376898e-15	0:0.00121165988[&age_median=0.00121165988,age_mean=0.00121165988,age_n=1,age_range={0.00121165988,0.00121165988},age_hpdi_95={0.00121165988,0.00121165988},age_qi_95={0.00121165988,0.00121165988}],1:0.00292869167[&age_median=0.00292869167,age_mean=0.00292869167,age_n=1,age_range={0.00292869167,0.00292869167},age_hpdi_95={0.00292869167,0.00292869167},age_qi_95={0.00292869167,0.00292869167}],2:0.00075827705[&age_median=0.00075827705,age_mean=0.00075827705,age_n=1,age_range={0.00075827705,0.00075827705},age_hpdi_95={0.00075827705,0.00075827705},age_qi_95={0.00075827705,0.00075827705}],3:0.00050616258[&age_median=0.00050616258,age_mean=0.00050616258,age_n=1,age_range={0.00050616258,0.00050616258},age_hpdi_95={0.00050616258,0.00050616258},age_qi_95={0.00050616258,0.00050616258}],4:0.00193865471[&age_median=0.00193865471,age_mean=0.00193865471,age_n=1,age_range={0.00193865471,0.00193865471},age_hpdi_95={0.00193865471,0.00193865471},age_qi_95={0.00193865471,0.00193865471}]
