number	PRI.div.model	density	PRI.Psi	density	PRI.E.t	density	PRI.omega	density	PRI.cv	density
1	1	4.02083e-15	1	5.72207e-10	0.000110458	2954.6	0	0.441203	0	0.000621664
2	1.97898	4.3021e-15	1.00901	6.30432e-10	0.000116193	2932.1	9.13947e-06	0.492591	0.00203577	0.000645666
3	2.95796	4.60116e-15	1.01802	6.94208e-10	0.000121928	2908.8	1.82789e-05	0.549506	0.00407153	0.000671101
4	3.93694	4.91897e-15	1.02703	7.64025e-10	0.000127663	2884.75	2.74184e-05	0.612488	0.0061073	0.000698098
5	4.91592	5.25655e-15	1.03604	8.4041e-10	0.000133398	2859.96	3.65579e-05	0.682121	0.00814307	0.000726794
6	5.89489	5.61496e-15	1.04505	9.23936e-10	0.000139133	2834.48	4.56974e-05	0.759038	0.0101788	0.000757341
7	6.87387	5.99531e-15	1.05405	1.01522e-09	0.000144868	2808.34	5.48368e-05	0.843927	0.0122146	0.000789903
8	7.85285	6.39875e-15	1.06306	1.11492e-09	0.000150604	2781.57	6.39763e-05	0.93753	0.0142504	0.00082466
9	8.83183	6.82647e-15	1.07207	1.22375e-09	0.000156339	2754.21	7.31158e-05	1.04065	0.0162861	0.000861807
10	9.81081	7.27973e-15	1.08108	1.34248e-09	0.000162074	2726.29	8.22553e-05	1.15415	0.0183219	0.000901556
11	10.7898	7.7598e-15	1.09009	1.47194e-09	0.000167809	2697.84	9.13947e-05	1.27897	0.0203577	0.000944139
12	11.7688	8.26805e-15	1.0991	1.61302e-09	0.000173544	2668.9	0.000100534	1.41612	0.0223934	0.000989806
13	12.7477	8.80586e-15	1.10811	1.76666e-09	0.000179279	2639.49	0.000109674	1.56667	0.0244292	0.00103883
14	13.7267	9.37467e-15	1.11712	1.93391e-09	0.000185014	2609.65	0.000118813	1.73179	0.026465	0.0010915
15	14.7057	9.97598e-15	1.12613	2.11584e-09	0.00019075	2579.42	0.000127953	1.91272	0.0285007	0.00114815
16	15.6847	1.06113e-14	1.13514	2.31365e-09	0.000196485	2548.81	0.000137092	2.11081	0.0305365	0.00120911
17	16.6637	1.12824e-14	1.14414	2.5286e-09	0.00020222	2517.86	0.000146232	2.32748	0.0325723	0.00127476
18	17.6426	1.19907e-14	1.15315	2.76202e-09	0.000207955	2486.61	0.000155371	2.56427	0.034608	0.00134552
19	18.6216	1.2738e-14	1.16216	3.01537e-09	0.00021369	2455.07	0.000164511	2.82282	0.0366438	0.00142181
20	19.6006	1.35261e-14	1.17117	3.29019e-09	0.000219425	2423.28	0.00017365	3.10486	0.0386796	0.00150411
21	20.5796	1.43569e-14	1.18018	3.58813e-09	0.00022516	2391.26	0.000182789	3.41226	0.0407153	0.00159293
22	21.5586	1.52321e-14	1.18919	3.91095e-09	0.000230896	2359.05	0.000191929	3.747	0.0427511	0.00168882
23	22.5375	1.61537e-14	1.1982	4.26052e-09	0.000236631	2326.66	0.000201068	4.11117	0.0447869	0.00179238
24	23.5165	1.71236e-14	1.20721	4.63884e-09	0.000242366	2294.12	0.000210208	4.50702	0.0468226	0.00190425
25	24.4955	1.81441e-14	1.21622	5.04804e-09	0.000248101	2261.46	0.000219347	4.93691	0.0488584	0.00202511
26	25.4745	1.9217e-14	1.22523	5.49038e-09	0.000253836	2228.7	0.000228487	5.40333	0.0508942	0.00215571
27	26.4535	2.03446e-14	1.23423	5.96828e-09	0.000259571	2195.87	0.000237626	5.90895	0.0529299	0.00229684
28	27.4324	2.15291e-14	1.24324	6.4843e-09	0.000265307	2162.98	0.000246766	6.45656	0.0549657	0.00244935
29	28.4114	2.27727e-14	1.25225	7.04114e-09	0.000271042	2130.06	0.000255905	7.04912	0.0570015	0.00261418
30	29.3904	2.40778e-14	1.26126	7.64169e-09	0.000276777	2097.13	0.000265045	7.68971	0.0590372	0.00279228
31	30.3694	2.54467e-14	1.27027	8.28902e-09	0.000282512	2064.21	0.000274184	8.38163	0.061073	0.00298473
32	31.3483	2.68818e-14	1.27928	8.98635e-09	0.000288247	2031.31	0.000283324	9.1283	0.0631088	0.00319265
33	32.3273	2.83856e-14	1.28829	9.73712e-09	0.000293982	1998.47	0.000292463	9.93331	0.0651446	0.00341724
34	33.3063	2.99607e-14	1.2973	1.0545e-08	0.000299717	1965.69	0.000301603	10.8004	0.0671803	0.0036598
35	34.2853	3.16095e-14	1.30631	1.14137e-08	0.000305453	1933	0.000310742	11.7336	0.0692161	0.0039217
36	35.2643	3.33348e-14	1.31532	1.23473e-08	0.000311188	1900.41	0.000319882	12.737	0.0712518	0.00420442
37	36.2432	3.51391e-14	1.32432	1.33502e-08	0.000316923	1867.94	0.000329021	13.8148	0.0732876	0.00450952
38	37.2222	3.70252e-14	1.33333	1.44268e-08	0.000322658	1835.6	0.000338161	14.9716	0.0753234	0.00483867
39	38.2012	3.89959e-14	1.34234	1.55818e-08	0.000328393	1803.41	0.0003473	16.212	0.0773592	0.00519365
40	39.1802	4.10539e-14	1.35135	1.68203e-08	0.000334128	1771.38	0.000356439	17.5407	0.0793949	0.00557635
41	40.1592	4.32021e-14	1.36036	1.81475e-08	0.000339863	1739.54	0.000365579	18.9629	0.0814307	0.00598878
42	41.1381	4.54435e-14	1.36937	1.9569e-08	0.000345599	1707.88	0.000374718	20.4836	0.0834665	0.00643309
43	42.1171	4.77808e-14	1.37838	2.10904e-08	0.000351334	1676.43	0.000383858	22.1083	0.0855022	0.00691153
