what	PRI.div.model	PRI.Psi	PRI.E.t	PRI.omega	PRI.cv
mode	913.408	6.42342	0.000110458	0.0013435	0.415296
mean	0.92501	0.753663	0.0673798	0.162	0.248471
median	906.719	6.63581	0.000310341	0.00142592	0.484325
quantile_50_lower_bound	870.75	6.23083	0.000198006	0.00114831	0.381999
quantile_50_upper_bound	940.146	7.24806	0.000483048	0.00174543	0.596658
quantile_90_lower_bound	817.489	5.64334	0.000124643	0.000789237	0.271658
quantile_90_upper_bound	970.35	8.40205	0.000868705	0.0023516	0.841286
quantile_95_lower_bound	797.949	5.39474	0.000116072	0.000678594	0.2402
quantile_95_upper_bound	974.594	8.91738	0.00099676	0.00258091	0.980834
quantile_99_lower_bound	743.833	4.91768	0.000109282	0.000467799	0.181064
quantile_99_upper_bound	978.105	9.56819	0.00116783	0.00319542	1.14398
HPD_50_lower_bound	884.039	6.01802	0.000111597	0.00106984	0.352189
HPD_50_upper_bound	951.589	6.92793	0.000304313	0.00165372	0.559835
HPD_90_lower_bound	839.006	5.46847	0.000111515	0.000714286	0.234114
HPD_90_upper_bound	979	8.11712	0.00070012	0.00221949	0.734911
HPD_95_lower_bound	820.405	5.21622	0.000111512	0.000603829	0.189305
HPD_95_upper_bound	979	8.66667	0.000860707	0.00246703	0.969046
HPD_99_lower_bound	778.309	4.93694	0.000111466	0.000375498	0.160827
HPD_99_upper_bound	979	9.57658	0.00110736	0.00296041	1.10542
