divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.021	nan	0:0.00051394982[&age_median=0.00051394982,age_mean=0.000632472097143,age_n=21,age_range={2.0853e-07,0.001762163},age_hpdi_95={2.0853e-07,0.00161754168},age_qi_95={3.6300195e-05,0.00168985234}]
0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0	0.001	nan	0:0.00034934674[&age_median=0.00034934674,age_mean=0.00034934674,age_n=1,age_range={0.00034934674,0.00034934674},age_hpdi_95={0.00034934674,0.00034934674},age_qi_95={0.00034934674,0.00034934674}],1:0.00050034922[&age_median=0.00050034922,age_mean=0.00050034922,age_n=1,age_range={0.00050034922,0.00050034922},age_hpdi_95={0.00050034922,0.00050034922},age_qi_95={0.00050034922,0.00050034922}]
0,1,1,0,2,3,4,5,5,2,3,6,0,7,4,5,6,7	0.001	nan	0:0.00254147012[&age_median=0.00254147012,age_mean=0.00254147012,age_n=1,age_range={0.00254147012,0.00254147012},age_hpdi_95={0.00254147012,0.00254147012},age_qi_95={0.00254147012,0.00254147012}],1:0.0014955583[&age_median=0.0014955583,age_mean=0.0014955583,age_n=1,age_range={0.0014955583,0.0014955583},age_hpdi_95={0.0014955583,0.0014955583},age_qi_95={0.0014955583,0.0014955583}],2:0.00058462026[&age_median=0.00058462026,age_mean=0.00058462026,age_n=1,age_range={0.00058462026,0.00058462026},age_hpdi_95={0.00058462026,0.00058462026},age_qi_95={0.00058462026,0.00058462026}],3:0.003880144[&age_median=0.003880144,age_mean=0.003880144,age_n=1,age_range={0.003880144,0.003880144},age_hpdi_95={0.003880144,0.003880144},age_qi_95={0.003880144,0.003880144}],4:0.00329885033[&age_median=0.00329885033,age_mean=0.00329885033,age_n=1,age_range={0.00329885033,0.00329885033},age_hpdi_95={0.00329885033,0.00329885033},age_qi_95={0.00329885033,0.00329885033}],5:0.00011026622[&age_median=0.00011026622,age_mean=0.00011026622,age_n=1,age_range={0.00011026622,0.00011026622},age_hpdi_95={0.00011026622,0.00011026622},age_qi_95={0.00011026622,0.00011026622}],6:0.00766914112[&age_median=0.00766914112,age_mean=0.00766914112,age_n=1,age_range={0.00766914112,0.00766914112},age_hpdi_95={0.00766914112,0.00766914112},age_qi_95={0.00766914112,0.00766914112}],7:0.00050323076[&age_median=0.00050323076,age_mean=0.00050323076,age_n=1,age_range={0.00050323076,0.00050323076},age_hpdi_95={0.00050323076,0.00050323076},age_qi_95={0.00050323076,0.00050323076}]
0,1,2,3,0,4,5,6,4,6,3,2,1,1,0,4,5,7	0.001	nan	0:4.168353e-05[&age_median=4.168353e-05,age_mean=4.168353e-05,age_n=1,age_range={4.168353e-05,4.168353e-05},age_hpdi_95={4.168353e-05,4.168353e-05},age_qi_95={4.168353e-05,4.168353e-05}],1:0.00256494518[&age_median=0.00256494518,age_mean=0.00256494518,age_n=1,age_range={0.00256494518,0.00256494518},age_hpdi_95={0.00256494518,0.00256494518},age_qi_95={0.00256494518,0.00256494518}],2:0.00104683917[&age_median=0.00104683917,age_mean=0.00104683917,age_n=1,age_range={0.00104683917,0.00104683917},age_hpdi_95={0.00104683917,0.00104683917},age_qi_95={0.00104683917,0.00104683917}],3:0.00041410051[&age_median=0.00041410051,age_mean=0.00041410051,age_n=1,age_range={0.00041410051,0.00041410051},age_hpdi_95={0.00041410051,0.00041410051},age_qi_95={0.00041410051,0.00041410051}],4:0.0003613366[&age_median=0.0003613366,age_mean=0.0003613366,age_n=1,age_range={0.0003613366,0.0003613366},age_hpdi_95={0.0003613366,0.0003613366},age_qi_95={0.0003613366,0.0003613366}],5:0.0010047689[&age_median=0.0010047689,age_mean=0.0010047689,age_n=1,age_range={0.0010047689,0.0010047689},age_hpdi_95={0.0010047689,0.0010047689},age_qi_95={0.0010047689,0.0010047689}],6:0.0036918743[&age_median=0.0036918743,age_mean=0.0036918743,age_n=1,age_range={0.0036918743,0.0036918743},age_hpdi_95={0.0036918743,0.0036918743},age_qi_95={0.0036918743,0.0036918743}],7:0.00350547895[&age_median=0.00350547895,age_mean=0.00350547895,age_n=1,age_range={0.00350547895,0.00350547895},age_hpdi_95={0.00350547895,0.00350547895},age_qi_95={0.00350547895,0.00350547895}]
0,1,1,2,3,4,5,1,4,0,4,6,5,7,1,8,4,9	0.001	nan	0:0.00084354794[&age_median=0.00084354794,age_mean=0.00084354794,age_n=1,age_range={0.00084354794,0.00084354794},age_hpdi_95={0.00084354794,0.00084354794},age_qi_95={0.00084354794,0.00084354794}],1:0.00313727306[&age_median=0.00313727306,age_mean=0.00313727306,age_n=1,age_range={0.00313727306,0.00313727306},age_hpdi_95={0.00313727306,0.00313727306},age_qi_95={0.00313727306,0.00313727306}],2:0.00134719633[&age_median=0.00134719633,age_mean=0.00134719633,age_n=1,age_range={0.00134719633,0.00134719633},age_hpdi_95={0.00134719633,0.00134719633},age_qi_95={0.00134719633,0.00134719633}],3:0.00148625536[&age_median=0.00148625536,age_mean=0.00148625536,age_n=1,age_range={0.00148625536,0.00148625536},age_hpdi_95={0.00148625536,0.00148625536},age_qi_95={0.00148625536,0.00148625536}],4:0.00040020862[&age_median=0.00040020862,age_mean=0.00040020862,age_n=1,age_range={0.00040020862,0.00040020862},age_hpdi_95={0.00040020862,0.00040020862},age_qi_95={0.00040020862,0.00040020862}],5:0.00092789597[&age_median=0.00092789597,age_mean=0.00092789597,age_n=1,age_range={0.00092789597,0.00092789597},age_hpdi_95={0.00092789597,0.00092789597},age_qi_95={0.00092789597,0.00092789597}],6:0.00078114884[&age_median=0.00078114884,age_mean=0.00078114884,age_n=1,age_range={0.00078114884,0.00078114884},age_hpdi_95={0.00078114884,0.00078114884},age_qi_95={0.00078114884,0.00078114884}],7:0.00473757144[&age_median=0.00473757144,age_mean=0.00473757144,age_n=1,age_range={0.00473757144,0.00473757144},age_hpdi_95={0.00473757144,0.00473757144},age_qi_95={0.00473757144,0.00473757144}],8:0.00181542672[&age_median=0.00181542672,age_mean=0.00181542672,age_n=1,age_range={0.00181542672,0.00181542672},age_hpdi_95={0.00181542672,0.00181542672},age_qi_95={0.00181542672,0.00181542672}],9:0.00051171945[&age_median=0.00051171945,age_mean=0.00051171945,age_n=1,age_range={0.00051171945,0.00051171945},age_hpdi_95={0.00051171945,0.00051171945},age_qi_95={0.00051171945,0.00051171945}]
0,1,2,2,3,1,2,2,1,2,0,1,2,0,0,3,3,1	0.001	nan	0:0.00196783228[&age_median=0.00196783228,age_mean=0.00196783228,age_n=1,age_range={0.00196783228,0.00196783228},age_hpdi_95={0.00196783228,0.00196783228},age_qi_95={0.00196783228,0.00196783228}],1:0.00090162445[&age_median=0.00090162445,age_mean=0.00090162445,age_n=1,age_range={0.00090162445,0.00090162445},age_hpdi_95={0.00090162445,0.00090162445},age_qi_95={0.00090162445,0.00090162445}],2:7.15604e-06[&age_median=7.15604e-06,age_mean=7.15604e-06,age_n=1,age_range={7.15604e-06,7.15604e-06},age_hpdi_95={7.15604e-06,7.15604e-06},age_qi_95={7.15604e-06,7.15604e-06}],3:0.00111764649[&age_median=0.00111764649,age_mean=0.00111764649,age_n=1,age_range={0.00111764649,0.00111764649},age_hpdi_95={0.00111764649,0.00111764649},age_qi_95={0.00111764649,0.00111764649}]
0,1,2,3,4,5,1,6,7,8,0,7,9,1,1,1,10,8	0.001	nan	0:0.00084414533[&age_median=0.00084414533,age_mean=0.00084414533,age_n=1,age_range={0.00084414533,0.00084414533},age_hpdi_95={0.00084414533,0.00084414533},age_qi_95={0.00084414533,0.00084414533}],1:0.00082400267[&age_median=0.00082400267,age_mean=0.00082400267,age_n=1,age_range={0.00082400267,0.00082400267},age_hpdi_95={0.00082400267,0.00082400267},age_qi_95={0.00082400267,0.00082400267}],2:0.00089313306[&age_median=0.00089313306,age_mean=0.00089313306,age_n=1,age_range={0.00089313306,0.00089313306},age_hpdi_95={0.00089313306,0.00089313306},age_qi_95={0.00089313306,0.00089313306}],3:0.00510757041[&age_median=0.00510757041,age_mean=0.00510757041,age_n=1,age_range={0.00510757041,0.00510757041},age_hpdi_95={0.00510757041,0.00510757041},age_qi_95={0.00510757041,0.00510757041}],4:0.00115355262[&age_median=0.00115355262,age_mean=0.00115355262,age_n=1,age_range={0.00115355262,0.00115355262},age_hpdi_95={0.00115355262,0.00115355262},age_qi_95={0.00115355262,0.00115355262}],5:8.351138e-05[&age_median=8.351138e-05,age_mean=8.351138e-05,age_n=1,age_range={8.351138e-05,8.351138e-05},age_hpdi_95={8.351138e-05,8.351138e-05},age_qi_95={8.351138e-05,8.351138e-05}],6:0.00114282892[&age_median=0.00114282892,age_mean=0.00114282892,age_n=1,age_range={0.00114282892,0.00114282892},age_hpdi_95={0.00114282892,0.00114282892},age_qi_95={0.00114282892,0.00114282892}],7:0.00160773904[&age_median=0.00160773904,age_mean=0.00160773904,age_n=1,age_range={0.00160773904,0.00160773904},age_hpdi_95={0.00160773904,0.00160773904},age_qi_95={0.00160773904,0.00160773904}],8:0.00161583851[&age_median=0.00161583851,age_mean=0.00161583851,age_n=1,age_range={0.00161583851,0.00161583851},age_hpdi_95={0.00161583851,0.00161583851},age_qi_95={0.00161583851,0.00161583851}],9:0.00029799377[&age_median=0.00029799377,age_mean=0.00029799377,age_n=1,age_range={0.00029799377,0.00029799377},age_hpdi_95={0.00029799377,0.00029799377},age_qi_95={0.00029799377,0.00029799377}],10:0.00211829051[&age_median=0.00211829051,age_mean=0.00211829051,age_n=1,age_range={0.00211829051,0.00211829051},age_hpdi_95={0.00211829051,0.00211829051},age_qi_95={0.00211829051,0.00211829051}]
0,1,2,2,1,1,3,4,3,5,0,1,1,5,0,6,0,3	0.001	nan	0:0.00041405915[&age_median=0.00041405915,age_mean=0.00041405915,age_n=1,age_range={0.00041405915,0.00041405915},age_hpdi_95={0.00041405915,0.00041405915},age_qi_95={0.00041405915,0.00041405915}],1:0.00253507884[&age_median=0.00253507884,age_mean=0.00253507884,age_n=1,age_range={0.00253507884,0.00253507884},age_hpdi_95={0.00253507884,0.00253507884},age_qi_95={0.00253507884,0.00253507884}],2:0.00087426871[&age_median=0.00087426871,age_mean=0.00087426871,age_n=1,age_range={0.00087426871,0.00087426871},age_hpdi_95={0.00087426871,0.00087426871},age_qi_95={0.00087426871,0.00087426871}],3:0.00437486665[&age_median=0.00437486665,age_mean=0.00437486665,age_n=1,age_range={0.00437486665,0.00437486665},age_hpdi_95={0.00437486665,0.00437486665},age_qi_95={0.00437486665,0.00437486665}],4:0.00069575747[&age_median=0.00069575747,age_mean=0.00069575747,age_n=1,age_range={0.00069575747,0.00069575747},age_hpdi_95={0.00069575747,0.00069575747},age_qi_95={0.00069575747,0.00069575747}],5:0.00187175707[&age_median=0.00187175707,age_mean=0.00187175707,age_n=1,age_range={0.00187175707,0.00187175707},age_hpdi_95={0.00187175707,0.00187175707},age_qi_95={0.00187175707,0.00187175707}],6:0.00065009885[&age_median=0.00065009885,age_mean=0.00065009885,age_n=1,age_range={0.00065009885,0.00065009885},age_hpdi_95={0.00065009885,0.00065009885},age_qi_95={0.00065009885,0.00065009885}]
0,1,2,3,2,3,3,2,1,2,4,3,2,3,0,0,3,1	0.001	nan	0:0.00337055876[&age_median=0.00337055876,age_mean=0.00337055876,age_n=1,age_range={0.00337055876,0.00337055876},age_hpdi_95={0.00337055876,0.00337055876},age_qi_95={0.00337055876,0.00337055876}],1:0.00128610872[&age_median=0.00128610872,age_mean=0.00128610872,age_n=1,age_range={0.00128610872,0.00128610872},age_hpdi_95={0.00128610872,0.00128610872},age_qi_95={0.00128610872,0.00128610872}],2:0.0002074681[&age_median=0.0002074681,age_mean=0.0002074681,age_n=1,age_range={0.0002074681,0.0002074681},age_hpdi_95={0.0002074681,0.0002074681},age_qi_95={0.0002074681,0.0002074681}],3:0.00025241036[&age_median=0.00025241036,age_mean=0.00025241036,age_n=1,age_range={0.00025241036,0.00025241036},age_hpdi_95={0.00025241036,0.00025241036},age_qi_95={0.00025241036,0.00025241036}],4:0.00083079729[&age_median=0.00083079729,age_mean=0.00083079729,age_n=1,age_range={0.00083079729,0.00083079729},age_hpdi_95={0.00083079729,0.00083079729},age_qi_95={0.00083079729,0.00083079729}]
0,1,0,1,2,1,0,1,0,1,2,0,2,3,3,0,2,2	0.001	nan	0:0.00086720853[&age_median=0.00086720853,age_mean=0.00086720853,age_n=1,age_range={0.00086720853,0.00086720853},age_hpdi_95={0.00086720853,0.00086720853},age_qi_95={0.00086720853,0.00086720853}],1:0.00189324771[&age_median=0.00189324771,age_mean=0.00189324771,age_n=1,age_range={0.00189324771,0.00189324771},age_hpdi_95={0.00189324771,0.00189324771},age_qi_95={0.00189324771,0.00189324771}],2:0.0003554333[&age_median=0.0003554333,age_mean=0.0003554333,age_n=1,age_range={0.0003554333,0.0003554333},age_hpdi_95={0.0003554333,0.0003554333},age_qi_95={0.0003554333,0.0003554333}],3:0.00210515385[&age_median=0.00210515385,age_mean=0.00210515385,age_n=1,age_range={0.00210515385,0.00210515385},age_hpdi_95={0.00210515385,0.00210515385},age_qi_95={0.00210515385,0.00210515385}]
