divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0.024	nan	0:0.000488303515[&age_median=0.000488303515,age_mean=0.000731606971667,age_n=24,age_range={2.997456e-05,0.00298077473},age_hpdi_95={2.997456e-05,0.00286309015},age_qi_95={3.73465315e-05,0.0029131060965}]
0,1,0,2,1,3,2,1,4,3,1,3,4,2,4,5,2,4	0.001	nan	0:0.00051461888[&age_median=0.00051461888,age_mean=0.00051461888,age_n=1,age_range={0.00051461888,0.00051461888},age_hpdi_95={0.00051461888,0.00051461888},age_qi_95={0.00051461888,0.00051461888}],1:0.00045286488[&age_median=0.00045286488,age_mean=0.00045286488,age_n=1,age_range={0.00045286488,0.00045286488},age_hpdi_95={0.00045286488,0.00045286488},age_qi_95={0.00045286488,0.00045286488}],2:0.00267085886[&age_median=0.00267085886,age_mean=0.00267085886,age_n=1,age_range={0.00267085886,0.00267085886},age_hpdi_95={0.00267085886,0.00267085886},age_qi_95={0.00267085886,0.00267085886}],3:0.00156891023[&age_median=0.00156891023,age_mean=0.00156891023,age_n=1,age_range={0.00156891023,0.00156891023},age_hpdi_95={0.00156891023,0.00156891023},age_qi_95={0.00156891023,0.00156891023}],4:0.00160798315[&age_median=0.00160798315,age_mean=0.00160798315,age_n=1,age_range={0.00160798315,0.00160798315},age_hpdi_95={0.00160798315,0.00160798315},age_qi_95={0.00160798315,0.00160798315}],5:0.0009905453[&age_median=0.0009905453,age_mean=0.0009905453,age_n=1,age_range={0.0009905453,0.0009905453},age_hpdi_95={0.0009905453,0.0009905453},age_qi_95={0.0009905453,0.0009905453}]
0,0,1,0,2,3,2,3,4,0,0,0,1,1,3,3,1,1	0.001	nan	0:0.00011684799[&age_median=0.00011684799,age_mean=0.00011684799,age_n=1,age_range={0.00011684799,0.00011684799},age_hpdi_95={0.00011684799,0.00011684799},age_qi_95={0.00011684799,0.00011684799}],1:0.00037242315[&age_median=0.00037242315,age_mean=0.00037242315,age_n=1,age_range={0.00037242315,0.00037242315},age_hpdi_95={0.00037242315,0.00037242315},age_qi_95={0.00037242315,0.00037242315}],2:8.892141e-05[&age_median=8.892141e-05,age_mean=8.892141e-05,age_n=1,age_range={8.892141e-05,8.892141e-05},age_hpdi_95={8.892141e-05,8.892141e-05},age_qi_95={8.892141e-05,8.892141e-05}],3:0.00182046908[&age_median=0.00182046908,age_mean=0.00182046908,age_n=1,age_range={0.00182046908,0.00182046908},age_hpdi_95={0.00182046908,0.00182046908},age_qi_95={0.00182046908,0.00182046908}],4:0.0024366668[&age_median=0.0024366668,age_mean=0.0024366668,age_n=1,age_range={0.0024366668,0.0024366668},age_hpdi_95={0.0024366668,0.0024366668},age_qi_95={0.0024366668,0.0024366668}]
0,1,1,2,3,1,1,4,5,1,1,2,3,1,3,5,2,5	0.001	nan	0:0.00113331134[&age_median=0.00113331134,age_mean=0.00113331134,age_n=1,age_range={0.00113331134,0.00113331134},age_hpdi_95={0.00113331134,0.00113331134},age_qi_95={0.00113331134,0.00113331134}],1:0.00124664523[&age_median=0.00124664523,age_mean=0.00124664523,age_n=1,age_range={0.00124664523,0.00124664523},age_hpdi_95={0.00124664523,0.00124664523},age_qi_95={0.00124664523,0.00124664523}],2:0.00257053276[&age_median=0.00257053276,age_mean=0.00257053276,age_n=1,age_range={0.00257053276,0.00257053276},age_hpdi_95={0.00257053276,0.00257053276},age_qi_95={0.00257053276,0.00257053276}],3:0.00042384976[&age_median=0.00042384976,age_mean=0.00042384976,age_n=1,age_range={0.00042384976,0.00042384976},age_hpdi_95={0.00042384976,0.00042384976},age_qi_95={0.00042384976,0.00042384976}],4:0.00028751087[&age_median=0.00028751087,age_mean=0.00028751087,age_n=1,age_range={0.00028751087,0.00028751087},age_hpdi_95={0.00028751087,0.00028751087},age_qi_95={0.00028751087,0.00028751087}],5:0.00012296567[&age_median=0.00012296567,age_mean=0.00012296567,age_n=1,age_range={0.00012296567,0.00012296567},age_hpdi_95={0.00012296567,0.00012296567},age_qi_95={0.00012296567,0.00012296567}]
0,1,1,1,2,1,3,0,3,4,1,4,1,4,4,2,3,3	0.001	nan	0:0.00116871995[&age_median=0.00116871995,age_mean=0.00116871995,age_n=1,age_range={0.00116871995,0.00116871995},age_hpdi_95={0.00116871995,0.00116871995},age_qi_95={0.00116871995,0.00116871995}],1:0.00129228147[&age_median=0.00129228147,age_mean=0.00129228147,age_n=1,age_range={0.00129228147,0.00129228147},age_hpdi_95={0.00129228147,0.00129228147},age_qi_95={0.00129228147,0.00129228147}],2:0.00106260394[&age_median=0.00106260394,age_mean=0.00106260394,age_n=1,age_range={0.00106260394,0.00106260394},age_hpdi_95={0.00106260394,0.00106260394},age_qi_95={0.00106260394,0.00106260394}],3:0.00361902369[&age_median=0.00361902369,age_mean=0.00361902369,age_n=1,age_range={0.00361902369,0.00361902369},age_hpdi_95={0.00361902369,0.00361902369},age_qi_95={0.00361902369,0.00361902369}],4:0.00097706717[&age_median=0.00097706717,age_mean=0.00097706717,age_n=1,age_range={0.00097706717,0.00097706717},age_hpdi_95={0.00097706717,0.00097706717},age_qi_95={0.00097706717,0.00097706717}]
0,1,0,2,3,0,3,1,4,4,3,5,6,4,5,0,1,1	0.001	nan	0:0.00029391512[&age_median=0.00029391512,age_mean=0.00029391512,age_n=1,age_range={0.00029391512,0.00029391512},age_hpdi_95={0.00029391512,0.00029391512},age_qi_95={0.00029391512,0.00029391512}],1:0.00028251574[&age_median=0.00028251574,age_mean=0.00028251574,age_n=1,age_range={0.00028251574,0.00028251574},age_hpdi_95={0.00028251574,0.00028251574},age_qi_95={0.00028251574,0.00028251574}],2:0.00012159062[&age_median=0.00012159062,age_mean=0.00012159062,age_n=1,age_range={0.00012159062,0.00012159062},age_hpdi_95={0.00012159062,0.00012159062},age_qi_95={0.00012159062,0.00012159062}],3:0.0001184376[&age_median=0.0001184376,age_mean=0.0001184376,age_n=1,age_range={0.0001184376,0.0001184376},age_hpdi_95={0.0001184376,0.0001184376},age_qi_95={0.0001184376,0.0001184376}],4:0.00071724842[&age_median=0.00071724842,age_mean=0.00071724842,age_n=1,age_range={0.00071724842,0.00071724842},age_hpdi_95={0.00071724842,0.00071724842},age_qi_95={0.00071724842,0.00071724842}],5:0.00092124546[&age_median=0.00092124546,age_mean=0.00092124546,age_n=1,age_range={0.00092124546,0.00092124546},age_hpdi_95={0.00092124546,0.00092124546},age_qi_95={0.00092124546,0.00092124546}],6:0.00084780432[&age_median=0.00084780432,age_mean=0.00084780432,age_n=1,age_range={0.00084780432,0.00084780432},age_hpdi_95={0.00084780432,0.00084780432},age_qi_95={0.00084780432,0.00084780432}]
0,1,2,2,2,3,4,1,1,0,3,5,6,5,4,6,2,5	0.001	nan	0:0.00318681962[&age_median=0.00318681962,age_mean=0.00318681962,age_n=1,age_range={0.00318681962,0.00318681962},age_hpdi_95={0.00318681962,0.00318681962},age_qi_95={0.00318681962,0.00318681962}],1:0.00194339885[&age_median=0.00194339885,age_mean=0.00194339885,age_n=1,age_range={0.00194339885,0.00194339885},age_hpdi_95={0.00194339885,0.00194339885},age_qi_95={0.00194339885,0.00194339885}],2:0.00132078385[&age_median=0.00132078385,age_mean=0.00132078385,age_n=1,age_range={0.00132078385,0.00132078385},age_hpdi_95={0.00132078385,0.00132078385},age_qi_95={0.00132078385,0.00132078385}],3:0.00354525699[&age_median=0.00354525699,age_mean=0.00354525699,age_n=1,age_range={0.00354525699,0.00354525699},age_hpdi_95={0.00354525699,0.00354525699},age_qi_95={0.00354525699,0.00354525699}],4:0.00031489846[&age_median=0.00031489846,age_mean=0.00031489846,age_n=1,age_range={0.00031489846,0.00031489846},age_hpdi_95={0.00031489846,0.00031489846},age_qi_95={0.00031489846,0.00031489846}],5:0.00035097576[&age_median=0.00035097576,age_mean=0.00035097576,age_n=1,age_range={0.00035097576,0.00035097576},age_hpdi_95={0.00035097576,0.00035097576},age_qi_95={0.00035097576,0.00035097576}],6:0.00115993031[&age_median=0.00115993031,age_mean=0.00115993031,age_n=1,age_range={0.00115993031,0.00115993031},age_hpdi_95={0.00115993031,0.00115993031},age_qi_95={0.00115993031,0.00115993031}]
0,1,2,3,4,5,1,6,7,0,8,3,9,5,8,8,10,11	0.001	nan	0:0.00112968541[&age_median=0.00112968541,age_mean=0.00112968541,age_n=1,age_range={0.00112968541,0.00112968541},age_hpdi_95={0.00112968541,0.00112968541},age_qi_95={0.00112968541,0.00112968541}],1:0.00063123981[&age_median=0.00063123981,age_mean=0.00063123981,age_n=1,age_range={0.00063123981,0.00063123981},age_hpdi_95={0.00063123981,0.00063123981},age_qi_95={0.00063123981,0.00063123981}],2:0.00149133271[&age_median=0.00149133271,age_mean=0.00149133271,age_n=1,age_range={0.00149133271,0.00149133271},age_hpdi_95={0.00149133271,0.00149133271},age_qi_95={0.00149133271,0.00149133271}],3:0.00015130268[&age_median=0.00015130268,age_mean=0.00015130268,age_n=1,age_range={0.00015130268,0.00015130268},age_hpdi_95={0.00015130268,0.00015130268},age_qi_95={0.00015130268,0.00015130268}],4:0.00042890196[&age_median=0.00042890196,age_mean=0.00042890196,age_n=1,age_range={0.00042890196,0.00042890196},age_hpdi_95={0.00042890196,0.00042890196},age_qi_95={0.00042890196,0.00042890196}],5:0.00034070436[&age_median=0.00034070436,age_mean=0.00034070436,age_n=1,age_range={0.00034070436,0.00034070436},age_hpdi_95={0.00034070436,0.00034070436},age_qi_95={0.00034070436,0.00034070436}],6:0.00021340757[&age_median=0.00021340757,age_mean=0.00021340757,age_n=1,age_range={0.00021340757,0.00021340757},age_hpdi_95={0.00021340757,0.00021340757},age_qi_95={0.00021340757,0.00021340757}],7:0.00090740771[&age_median=0.00090740771,age_mean=0.00090740771,age_n=1,age_range={0.00090740771,0.00090740771},age_hpdi_95={0.00090740771,0.00090740771},age_qi_95={0.00090740771,0.00090740771}],8:0.00099248094[&age_median=0.00099248094,age_mean=0.00099248094,age_n=1,age_range={0.00099248094,0.00099248094},age_hpdi_95={0.00099248094,0.00099248094},age_qi_95={0.00099248094,0.00099248094}],9:0.01092907114[&age_median=0.01092907114,age_mean=0.01092907114,age_n=1,age_range={0.01092907114,0.01092907114},age_hpdi_95={0.01092907114,0.01092907114},age_qi_95={0.01092907114,0.01092907114}],10:0.000927563[&age_median=0.000927563,age_mean=0.000927563,age_n=1,age_range={0.000927563,0.000927563},age_hpdi_95={0.000927563,0.000927563},age_qi_95={0.000927563,0.000927563}],11:0.00134998525[&age_median=0.00134998525,age_mean=0.00134998525,age_n=1,age_range={0.00134998525,0.00134998525},age_hpdi_95={0.00134998525,0.00134998525},age_qi_95={0.00134998525,0.00134998525}]
0,1,2,0,3,0,4,5,0,6,7,4,8,7,6,3,9,10	0.001	nan	0:0.00152754649[&age_median=0.00152754649,age_mean=0.00152754649,age_n=1,age_range={0.00152754649,0.00152754649},age_hpdi_95={0.00152754649,0.00152754649},age_qi_95={0.00152754649,0.00152754649}],1:0.00115194327[&age_median=0.00115194327,age_mean=0.00115194327,age_n=1,age_range={0.00115194327,0.00115194327},age_hpdi_95={0.00115194327,0.00115194327},age_qi_95={0.00115194327,0.00115194327}],2:0.00098327115[&age_median=0.00098327115,age_mean=0.00098327115,age_n=1,age_range={0.00098327115,0.00098327115},age_hpdi_95={0.00098327115,0.00098327115},age_qi_95={0.00098327115,0.00098327115}],3:0.00167672941[&age_median=0.00167672941,age_mean=0.00167672941,age_n=1,age_range={0.00167672941,0.00167672941},age_hpdi_95={0.00167672941,0.00167672941},age_qi_95={0.00167672941,0.00167672941}],4:0.00029033849[&age_median=0.00029033849,age_mean=0.00029033849,age_n=1,age_range={0.00029033849,0.00029033849},age_hpdi_95={0.00029033849,0.00029033849},age_qi_95={0.00029033849,0.00029033849}],5:0.00424036385[&age_median=0.00424036385,age_mean=0.00424036385,age_n=1,age_range={0.00424036385,0.00424036385},age_hpdi_95={0.00424036385,0.00424036385},age_qi_95={0.00424036385,0.00424036385}],6:0.00089676459[&age_median=0.00089676459,age_mean=0.00089676459,age_n=1,age_range={0.00089676459,0.00089676459},age_hpdi_95={0.00089676459,0.00089676459},age_qi_95={0.00089676459,0.00089676459}],7:0.00405328512[&age_median=0.00405328512,age_mean=0.00405328512,age_n=1,age_range={0.00405328512,0.00405328512},age_hpdi_95={0.00405328512,0.00405328512},age_qi_95={0.00405328512,0.00405328512}],8:0.00181322297[&age_median=0.00181322297,age_mean=0.00181322297,age_n=1,age_range={0.00181322297,0.00181322297},age_hpdi_95={0.00181322297,0.00181322297},age_qi_95={0.00181322297,0.00181322297}],9:0.00107412624[&age_median=0.00107412624,age_mean=0.00107412624,age_n=1,age_range={0.00107412624,0.00107412624},age_hpdi_95={0.00107412624,0.00107412624},age_qi_95={0.00107412624,0.00107412624}],10:0.00130143155[&age_median=0.00130143155,age_mean=0.00130143155,age_n=1,age_range={0.00130143155,0.00130143155},age_hpdi_95={0.00130143155,0.00130143155},age_qi_95={0.00130143155,0.00130143155}]
0,1,2,3,0,4,4,5,6,2,7,1,4,3,6,7,3,5	0.001	nan	0:0.00118341231[&age_median=0.00118341231,age_mean=0.00118341231,age_n=1,age_range={0.00118341231,0.00118341231},age_hpdi_95={0.00118341231,0.00118341231},age_qi_95={0.00118341231,0.00118341231}],1:0.0001418413[&age_median=0.0001418413,age_mean=0.0001418413,age_n=1,age_range={0.0001418413,0.0001418413},age_hpdi_95={0.0001418413,0.0001418413},age_qi_95={0.0001418413,0.0001418413}],2:0.00124395[&age_median=0.00124395,age_mean=0.00124395,age_n=1,age_range={0.00124395,0.00124395},age_hpdi_95={0.00124395,0.00124395},age_qi_95={0.00124395,0.00124395}],3:0.00011957523[&age_median=0.00011957523,age_mean=0.00011957523,age_n=1,age_range={0.00011957523,0.00011957523},age_hpdi_95={0.00011957523,0.00011957523},age_qi_95={0.00011957523,0.00011957523}],4:0.00085653568[&age_median=0.00085653568,age_mean=0.00085653568,age_n=1,age_range={0.00085653568,0.00085653568},age_hpdi_95={0.00085653568,0.00085653568},age_qi_95={0.00085653568,0.00085653568}],5:0.00077915595[&age_median=0.00077915595,age_mean=0.00077915595,age_n=1,age_range={0.00077915595,0.00077915595},age_hpdi_95={0.00077915595,0.00077915595},age_qi_95={0.00077915595,0.00077915595}],6:0.00530749487[&age_median=0.00530749487,age_mean=0.00530749487,age_n=1,age_range={0.00530749487,0.00530749487},age_hpdi_95={0.00530749487,0.00530749487},age_qi_95={0.00530749487,0.00530749487}],7:0.00170982347[&age_median=0.00170982347,age_mean=0.00170982347,age_n=1,age_range={0.00170982347,0.00170982347},age_hpdi_95={0.00170982347,0.00170982347},age_qi_95={0.00170982347,0.00170982347}]
