parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997645836503688	3674.9445887630545	331.98671776398106	261.33626466101464	371.7342393021242	445.2880622935088	381.8520423539972	360.9462292795163	533.4617378866719	307.17334646330585	351.9372127318861	467.5109447315669
concentration	1	1.0009470503475497	5593.999419591462	371.12058326816816	543.5684620813568	688.6440925215284	578.1806564166537	565.07374505631	698.1591551391699	378.0266036210169	590.90347940522	904.5121755298791	444.7798128307741
ln_likelihood_comparison1pop1	1	1.0000935957374806	2928.1662209711867	223.33289805508343	218.83195986270695	337.89076206202293	225.5843121474557	340.8595679912996	340.2761950846547	432.4559241285364	386.7774449564982	381.822313670556	415.53364941210225
root_height_comparison1pop1	1	1.0025372885615098	1670.7529736916192	162.42022599671373	123.7569603170728	242.24653991404006	114.96174834157846	153.13426463472982	155.4371132666409	192.1535443679798	166.13048389203138	150.17169238697596	224.637819751526
pop_size_comparison1pop1	1	1.0000594736806143	4643.747059867478	336.60353685330165	326.5972916811947	442.28971401217154	417.56715719665914	586.2257352000596	572.6749259513596	708.3008595597769	496.5567394557163	496.2888473825669	601.6890920471578
pop_size_comparison1pop2	1	1.0024079328084006	1638.3295218399332	164.81496019620394	117.340025668144	228.41035151927485	116.55508903549368	158.7143399975955	159.99429719495367	222.742326923316	177.44039770246246	147.88910139890322	201.6499698657875
pop_size_root_comparison1pop1	1	0.9999953137096272	5368.687170403969	424.44300576839873	385.88023794718	476.6049483549597	707.7491505611557	976.2497576908593	699.3757491403472	658.5209788770436	548.0594660329858	614.3350310758996	901.9583920387704
ln_likelihood_comparison2pop1	1	0.9999436930888097	10000.0	941.8180873792338	860.691792625927	874.4917926764874	1000.0	1000.0	1000.0	985.0028676386423	1000.0	751.9222809599739	798.9802567363909
root_height_comparison2pop1	1	1.0002920391944603	10000.0	965.2965158916128	880.4990541935524	964.2835497116961	1000.0	1000.0	1000.0	1000.0	979.5980883425033	1000.0	1000.0
pop_size_comparison2pop1	1	1.000274331902961	8518.045543505523	1000.0	1000.0	1000.0	815.0545313635608	1000.0	810.3376850690738	779.0239310058593	1000.0	822.6724866240118	777.1341704341077
pop_size_comparison2pop2	1	1.0001077351426304	10000.0	1000.0	923.7167791039052	1000.0	1000.0	1000.0	1000.0	812.5794596477647	1000.0	933.1022354536644	1000.0
pop_size_root_comparison2pop1	1	1.0001128418245853	10000.0	924.4282742982284	1000.0	1000.0	1000.0	1000.0	952.4223631076794	892.2885703023843	1000.0	875.2367191781489	975.5271366895565
ln_likelihood_comparison3pop1	1	1.0007022842568458	4576.393680425561	1000.0	834.2721151556229	348.8968050434319	1000.0	848.2465121560614	803.7463984607416	1000.0	1000.0	574.0686623949443	637.387366516358
root_height_comparison3pop1	1	0.9998564036681215	7679.819824367207	823.1867127218765	714.1514108527949	828.1658707797803	950.2006346596695	1000.0	1000.0	743.8100326236721	819.4710086063068	1000.0	655.2953685679388
pop_size_comparison3pop1	1	1.0000324625040713	7849.345188075821	1000.0	981.1044277327977	459.53695658523816	763.8575998377426	985.0884856179005	950.963898581259	1000.0	941.1631058526743	634.9741158068026	1000.0
pop_size_comparison3pop2	1	1.0004980261198357	7877.24476244448	899.9048573028778	1000.0	887.6515155916675	788.120514181327	1000.0	704.4412251684264	548.6272528356724	1000.0	1000.0	1000.0
pop_size_root_comparison3pop1	1	1.0002779337961258	8594.509466777232	855.6929342575829	1000.0	541.2406748043445	835.0616057660112	931.6461126628285	971.7553600290224	1000.0	994.7215492183952	696.8214836401135	1000.0
ln_likelihood_comparison4pop1	1	1.0000387059224192	6771.639912166609	609.5285024353773	725.6137095066449	435.9836899633009	569.5097554082845	1000.0	945.920216334122	799.2108576092621	1000.0	860.777327884574	975.1383428011111
root_height_comparison4pop1	1	1.0003780904259962	6722.69984561456	815.6416538156371	1000.0	734.9178724824759	594.4212483879314	622.0848142029338	843.409402264364	817.997043551473	771.6880623338296	837.5794124218748	696.6313325641174
pop_size_comparison4pop1	1	1.000183628153961	7795.709935773473	759.6490243679813	662.706917386124	517.5299788934697	908.7825622079089	548.5425691459704	1000.0	1000.0	814.7744434748195	1000.0	1000.0
pop_size_comparison4pop2	1	1.000006244173667	7808.866430930611	703.3574304998202	1000.0	536.4617138895198	1000.0	875.8705626013738	833.3806041605826	1000.0	1000.0	661.4143682584388	650.540225035095
pop_size_root_comparison4pop1	1	1.0003693398554012	8298.915819809492	1000.0	987.05688810045	959.5712574172574	1000.0	815.2025929506406	998.8597304326971	862.055107052739	805.4544077165035	1000.0	674.2634505457188
ln_likelihood_comparison5pop1	1	1.0000808948182194	5120.81543368333	519.2374476943646	764.5349591312383	840.2058062492741	624.637169085044	825.2004908777799	980.1818240342058	430.9563149090357	626.9502308144702	804.9390602274066	866.4694247739637
root_height_comparison5pop1	1	1.0000928494110577	4479.567830385124	395.51387199226747	418.1677521913516	354.5388907827867	595.2244308020448	428.562158564585	635.7999010147877	372.74567453035246	380.3616755371901	428.1809004471935	502.5911570677382
pop_size_comparison5pop1	1	1.0007243141645465	6051.607665048677	764.2729560496864	500.3354177884801	475.264189246961	677.3858025377958	428.50076285011323	595.3217403204977	675.1560063002917	487.0130225941734	778.2117560929862	520.7398836062861
pop_size_comparison5pop2	1	1.0004327056489983	4857.051601526054	379.382988533414	437.8671724957169	353.12468475893644	599.0092969426659	424.3458886769201	583.5249858780977	468.9112874116255	493.3627599466113	605.1263414579455	423.667922746145
pop_size_root_comparison5pop1	1	1.0000358671857517	10000.0	929.4094948639763	732.5831224138714	736.9250475570384	691.949343612362	725.149081346515	762.8908264244371	1000.0	784.5578307350469	1000.0	1000.0
ln_likelihood_comparison6pop1	1	1.0017616193133045	3751.413635335135	604.7415509585801	295.98817660876796	291.6538693181732	347.37608917728846	465.9828995325385	607.1707281326175	264.99174997419215	429.4225503020034	506.6991753501612	505.39485125662264
root_height_comparison6pop1	1	1.001249314716732	3171.901469136077	397.72990883332335	498.97583280284147	219.44241426280303	328.63026341513006	263.43786413904513	351.7171141092861	235.05796189083438	316.44903099567193	366.28355023975945	332.20200728819987
pop_size_comparison6pop1	1	1.0014950578497064	4637.197728384456	667.6089949638587	362.16474874305777	335.67888107473453	664.483581996471	482.0953278264638	531.5309564811222	509.62274226476774	591.8497567260977	562.0135163598713	699.5100978839951
pop_size_comparison6pop2	1	1.0026347429947107	2889.2028847690563	516.5372138799243	368.40720847935796	305.9977910834671	411.2353057569727	324.569849033658	360.1515494738775	260.77093277672975	392.84810138460483	341.19695342705495	434.20904743684184
pop_size_root_comparison6pop1	1	0.9998965978193598	10000.0	952.0849354397533	833.4637277523077	794.270471824804	798.1449890256029	930.2690977304486	1000.0	963.4394154856187	1000.0	1000.0	1000.0
