parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	1.000106219923731	4636.789356322369	707.4416871107885	661.8491331779088	360.23112069864584	388.6051548015815	1000.0	608.4231165121821	645.943324992207	580.7340082343127	848.634808557035	668.9519060731623
concentration	1	1.0000268575892177	9362.3267378387	710.2690644198732	704.5225690395669	906.5819255110994	1000.0	1000.0	697.9883781325035	953.6898002321999	973.7581393120106	825.8935851930577	578.4092915032966
ln_likelihood_comparison2pop1	1	1.000259353606596	9134.540380275035	523.9597599653508	1000.0	996.1431760836516	1000.0	1000.0	1000.0	1000.0	656.0074597945429	987.3152244050178	724.880780084473
root_height_comparison2pop1	1	1.0001756169496616	8704.52451766962	1000.0	1000.0	1000.0	984.8191968968526	977.9143448273876	845.1197967212627	899.8780846463158	957.7130168652005	1000.0	925.9494353179424
pop_size_comparison2pop1	1	1.0002152801358988	10000.0	1000.0	1000.0	736.3034769624047	867.206571077279	1000.0	766.1290875464783	889.8287582866158	609.9218075114168	1000.0	1000.0
pop_size_comparison2pop2	1	1.0015081208258843	7385.721420300787	939.2384280725075	948.4677866297088	703.8363673034044	946.9794276745145	888.6231326599627	825.3953477594973	875.5255682035216	1000.0	1000.0	898.0963727727261
pop_size_root_comparison2pop1	1	1.0011329079505946	7532.716984163147	1000.0	1000.0	788.2561004714408	1000.0	1000.0	765.9931196956613	1000.0	903.0402857166486	1000.0	1000.0
ln_likelihood_comparison3pop1	1	1.0001427239410476	7618.460274666628	1000.0	942.6753807839345	1000.0	503.70959030334313	1000.0	1000.0	979.0460054935565	891.4521105390606	814.2315259988336	1000.0
root_height_comparison3pop1	1	0.9997374653235134	10000.0	954.2117310145039	1000.0	1000.0	631.3549596644499	944.8647156665704	1000.0	996.9505714507404	1000.0	839.423749220218	1000.0
pop_size_comparison3pop1	1	0.9998000139406803	9538.121737103407	1000.0	915.6418099136405	1000.0	793.3404831094223	935.3997758959387	1000.0	831.0974246331831	1000.0	1000.0	745.7995433482706
pop_size_comparison3pop2	1	1.0002164049993023	9823.11316872415	1000.0	860.7990589557145	1000.0	950.5591149685927	999.7879398361845	1000.0	824.3528796154225	1000.0	1000.0	1000.0
pop_size_root_comparison3pop1	1	0.9998645364979853	10000.0	1000.0	714.8690446028093	842.6038734367828	971.3443316050242	1000.0	1000.0	892.5527007277234	739.8996596988437	916.9051186166917	683.3485172646685
ln_likelihood_comparison7pop1	1	1.0000850467313893	5393.25546875309	1000.0	891.9353268018307	413.4848514999796	855.9381692413559	1000.0	923.4856629558113	835.6388767060067	681.3358487194901	1000.0	913.9893913834945
root_height_comparison7pop1	1	1.0001484912123704	8739.608083621222	1000.0	1000.0	1000.0	894.7190508810552	1000.0	1000.0	779.1003822755787	1000.0	731.0820093097549	931.3129510733385
pop_size_comparison7pop1	1	0.9997242315511503	9114.636492571892	1000.0	738.8664017302118	680.4093062122236	786.5518011407862	869.3839080111464	1000.0	852.6933341840604	777.904560802864	1000.0	1000.0
pop_size_comparison7pop2	1	1.0001866974785445	9136.01213816316	903.7556279640796	917.0086946715559	834.1481498956807	1000.0	1000.0	1000.0	854.9209512051882	924.9026971859693	1000.0	1000.0
pop_size_root_comparison7pop1	1	0.999806361883192	9359.841331656338	1000.0	935.0309075748327	811.3040426902083	782.5797893855313	884.180396537422	1000.0	896.0023056941441	871.3414616780092	1000.0	1000.0
ln_likelihood_comparison8pop1	1	1.0008117407062564	4313.143004088769	834.921544445648	965.0799308227076	351.7727627344742	643.9812851456705	1000.0	902.0971621684489	812.9538693227622	761.8719602415774	644.605635827171	1000.0
root_height_comparison8pop1	1	1.0002846446210638	10000.0	1000.0	1000.0	814.9737264520971	931.6911979323718	1000.0	700.250692582345	1000.0	1000.0	1000.0	1000.0
pop_size_comparison8pop1	1	1.0000013817353004	10000.0	1000.0	1000.0	972.8705598400988	1000.0	972.3670987328999	1000.0	925.2527565554402	784.5459735266926	956.0750198354345	1000.0
pop_size_comparison8pop2	1	1.00020835823749	10000.0	1000.0	701.0007673557304	886.0678563759659	976.8463462081223	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
pop_size_root_comparison8pop1	1	0.9999586771056224	10000.0	1000.0	786.6306637505446	1000.0	912.8507856733853	1000.0	1000.0	1000.0	1000.0	730.8238043101035	1000.0
ln_likelihood_comparison10pop1	1	1.0001049191515556	8810.773774238587	1000.0	1000.0	676.1520767148786	1000.0	1000.0	554.951862992938	740.9513306093415	1000.0	890.4269262125065	962.4480567079033
root_height_comparison10pop1	1	0.9996147798001052	10000.0	1000.0	957.4489989441613	973.1445728076737	861.1848244793675	992.194811492075	954.3783595629623	712.0697873445264	1000.0	813.5489016753214	1000.0
pop_size_comparison10pop1	1	1.0007620467445522	9607.084646456307	1000.0	959.8318092288237	981.2025081409197	1000.0	913.1641654110963	852.8696106893873	913.8463551079985	1000.0	1000.0	1000.0
pop_size_comparison10pop2	1	0.9998629746369941	10000.0	830.8817944861579	1000.0	1000.0	949.9226349851172	1000.0	1000.0	1000.0	1000.0	1000.0	920.3710236593878
pop_size_root_comparison10pop1	1	1.0004025082578922	10000.0	1000.0	945.2267277831503	749.7351580860619	1000.0	634.8924102046481	1000.0	1000.0	1000.0	1000.0	1000.0
ln_likelihood_comparison11pop1	1	1.000146066375793	4625.3890194013475	910.0313613751528	612.2670416237937	366.6981829179771	369.34618683910884	1000.0	505.65435372361685	772.6934514892465	588.2642902601118	804.4197481720332	619.7724280573707
root_height_comparison11pop1	1	1.0001326354948525	8422.84199889634	725.9869656134133	640.9128558214936	748.3924580522412	714.2832815829341	988.4230328029034	805.0643796131942	700.398577118294	782.0585688158804	799.3248211430773	597.4825745620401
pop_size_comparison11pop1	1	0.9999240296809452	10000.0	853.5656590994734	1000.0	758.9746557428193	695.0898062737388	1000.0	701.0734457071721	1000.0	890.9492538313524	888.3865597497186	772.7049639708096
pop_size_comparison11pop2	1	0.9998113421395903	7979.35188496717	611.6289686114646	765.7508571502356	981.4864675639851	703.4836383213386	892.0452059969682	714.798512607145	869.047574909494	895.8276837600682	930.1521166906679	617.6712687102001
pop_size_root_comparison11pop1	1	1.0000212384783318	10000.0	1000.0	1000.0	609.3649624682425	632.3653953047614	1000.0	899.807218351088	812.7438455146713	1000.0	962.5740430664508	884.6700008844645
ln_likelihood	100	1.0005881149514912	9010.0	901.0	901.0	901.0	899.1803797748748	872.6824342129012	901.0	901.0	901.0	901.0	901.0
concentration	100	1.000019648441025	9010.0	627.0225137422552	684.8353114123886	901.0	825.13437715117	901.0	661.3582227262665	622.1142674344608	901.0	901.0	515.2676415802135
ln_likelihood_comparison2pop1	100	1.0002060980696206	9010.0	901.0	901.0	901.0	901.0	901.0	851.3986091187326	683.1151216783129	901.0	901.0	901.0
root_height_comparison2pop1	100	1.0002510465158976	7130.1230374559555	901.0	901.0	901.0	807.524520215346	710.5670389419524	781.8494141613188	901.0	842.1958467168089	829.2417704561577	757.5157605749629
pop_size_comparison2pop1	100	1.0003399297340103	7352.296492773106	901.0	901.0	799.2898609326561	901.0	901.0	733.9644211605201	873.9219360553052	772.1155639035453	901.0	901.0
pop_size_comparison2pop2	100	1.001312598796139	6149.5448650199405	901.0	742.6503793899419	707.3764934296354	901.0	570.956100812482	630.5941833586628	901.0	901.0	901.0	901.0
pop_size_root_comparison2pop1	100	1.0011448051704692	6319.303519468484	901.0	901.0	766.8795175704375	901.0	698.6920942677131	599.9507496094436	901.0	901.0	901.0	901.0
ln_likelihood_comparison3pop1	100	0.9998708806812713	9010.0	901.0	850.932984073099	901.0	901.0	901.0	901.0	706.805415771508	901.0	901.0	882.5744160721418
root_height_comparison3pop1	100	0.9997584239122276	9010.0	881.3618097723876	901.0	883.1015354240515	676.3284483845185	699.5788897069352	901.0	901.0	901.0	680.0956333888605	901.0
pop_size_comparison3pop1	100	0.9998264638612584	8822.169323627302	901.0	901.0	901.0	867.5460034133033	901.0	787.3676117077732	762.0392363445595	901.0	901.0	669.2409436172677
pop_size_comparison3pop2	100	1.0003428457065193	9010.0	901.0	806.3681998383236	901.0	901.0	859.0554570987485	901.0	879.9135631520343	694.8381828567458	901.0	867.1092863060801
