parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	1.000053398275998	2598.44828827254	240.79851039249968	462.84273008023166	310.55003822194635	273.24524154973113	289.6258703102507	475.24165057629904	325.47859300115346	324.752347465184	176.0016744444069	277.52715574072266
concentration	1	1.0018603181834966	2858.4170912585546	271.04563072844246	356.4433954956427	424.4985914429991	468.41446112371545	360.0729225370598	370.17782428109246	340.0934417254069	307.65489917644913	363.15168217222043	430.2336775890981
ln_likelihood_comparison1pop2	1	1.000806500824614	2747.412601266476	208.18912232331647	860.1989259960824	278.23930739557073	660.456571891554	448.790866047822	538.0646979864393	821.0401520404184	337.20310917458767	494.6097445311914	469.3084514622223
root_height_comparison1pop2	1	0.9999116621034886	7117.418590219152	1000.0	601.7546252064124	494.0997086360954	1000.0	887.0531631697555	1000.0	1000.0	793.6792681536688	682.6090599394665	780.9211064113571
pop_size_comparison1pop2	1	1.000702532253834	6914.929393717598	634.2702941508218	578.5180034511442	476.5286252755802	678.0742080563084	775.8268002778667	723.4514514116765	592.7803334854933	691.5132415412108	655.0821716701762	683.7993341059284
pop_size_comparison1pop1	1	0.9996093027048092	8862.322089484403	941.4042400241309	1000.0	753.2570481679709	889.8455915725568	889.5875828512583	1000.0	817.6032366746069	571.7569949934257	867.7197852568144	884.6062073982426
pop_size_root_comparison1pop2	1	0.9999527164447708	6859.694910121332	651.4227388772547	824.7065089527748	587.9766915740424	1000.0	1000.0	849.823617994994	775.4029334471393	493.4572338145893	897.2333540425082	859.2059962646073
ln_likelihood_comparison2pop1	1	0.9998085946518336	9553.808971417506	860.9636549917412	983.4680635924376	1000.0	1000.0	1000.0	635.6326861758597	777.3501057738789	1000.0	805.8259091604416	899.228850504876
root_height_comparison2pop1	1	1.0002631633138817	10000.0	1000.0	1000.0	863.0639607365243	1000.0	770.7644371743789	1000.0	1000.0	829.5382094323361	1000.0	910.7160600881789
pop_size_comparison2pop1	1	1.000359761623319	7747.136344932573	863.5314581564108	803.4510250633645	741.5007744888387	1000.0	841.1678785331624	803.3824437720884	875.2473986401601	1000.0	1000.0	1000.0
pop_size_comparison2pop2	1	1.000226464228036	9848.921639327611	1000.0	936.3301114815941	989.5032121522476	963.6654306243631	822.2425270046514	950.4878553073441	710.5572657260046	823.3306540257122	874.7199709056249	694.5977155340736
pop_size_root_comparison2pop1	1	1.0004369253481502	7167.577649625402	925.093905759083	1000.0	907.1666464277238	972.5841088779837	697.1958561371451	1000.0	1000.0	990.660290470698	725.1062339791087	685.4064303914427
ln_likelihood_comparison3pop1	1	1.000958602081699	5438.607308187651	1000.0	679.6442869010053	342.4857157892486	981.4738804268529	855.0229280566425	1000.0	973.8490246396882	1000.0	850.6505154296917	753.5983820459555
root_height_comparison3pop1	1	0.9996909981794166	8999.800790831276	1000.0	693.6979761925556	620.7888340142626	768.0888280277079	1000.0	945.8382885626824	1000.0	882.7247113133166	893.7208648272359	1000.0
pop_size_comparison3pop1	1	0.9999651251470187	8377.25791846166	896.4593701046927	759.2321655684937	693.4264989090235	675.6895145005303	1000.0	1000.0	827.7879319295515	1000.0	1000.0	1000.0
pop_size_comparison3pop2	1	1.0000324825717137	9935.377227266552	701.6173693832503	1000.0	1000.0	1000.0	780.0131251933312	1000.0	673.4729097677206	1000.0	887.2054520441036	1000.0
pop_size_root_comparison3pop1	1	1.0002524075209565	10000.0	765.6803991049951	1000.0	1000.0	1000.0	1000.0	1000.0	778.6717354944802	803.9530878399763	1000.0	1000.0
ln_likelihood_comparison4pop2	1	1.0008478241458436	5646.475024962575	756.8433707533792	915.5404493934238	331.4545215902364	1000.0	936.7575222193681	771.6681504500315	1000.0	748.2952003628346	1000.0	1000.0
root_height_comparison4pop2	1	0.9999515983594945	7799.714562852736	1000.0	720.2455943170145	759.3864315831547	1000.0	1000.0	998.1079415806507	1000.0	1000.0	839.2893164085176	802.8706224822284
pop_size_comparison4pop2	1	0.9999553168445043	8347.025642564102	852.2177487116844	1000.0	988.9981436758502	1000.0	1000.0	1000.0	1000.0	778.0158134062626	1000.0	643.4531331064055
pop_size_comparison4pop1	1	1.0004681493365133	8561.478342927827	1000.0	1000.0	739.1164901337148	722.9481635317018	866.8997785020023	547.5635417698636	794.418810546365	1000.0	942.2693913053434	1000.0
pop_size_root_comparison4pop2	1	0.9997975538617001	8777.823991529882	1000.0	1000.0	832.6731400167052	1000.0	911.6289891338132	1000.0	985.4083139304613	991.9726831551272	820.7003053670165	623.6734261214004
ln_likelihood_comparison5pop1	1	1.0008811842269265	3345.3355688585775	897.8306382597523	973.88010473946	617.6316726393093	333.0915188983797	503.57252695484897	1000.0	301.1533049796614	1000.0	930.0634729726512	1000.0
root_height_comparison5pop1	1	0.9997498538241013	10000.0	1000.0	1000.0	607.5745045232443	1000.0	955.1087483146277	1000.0	1000.0	591.8563556122136	1000.0	910.2716542399223
pop_size_comparison5pop1	1	0.9999604538315753	8987.827751388975	924.3767911227345	1000.0	817.7165831536136	749.7980929501879	1000.0	1000.0	484.8095318944171	739.338830775359	1000.0	918.5206552912123
pop_size_comparison5pop2	1	1.000023429766596	6319.170283536941	1000.0	888.6994010970972	495.9333333097686	774.8977115390907	1000.0	1000.0	443.9991979323255	1000.0	725.9923820648968	1000.0
pop_size_root_comparison5pop1	1	1.0000221188167115	8791.026898771548	1000.0	1000.0	732.2053363990841	710.1880677407719	968.6653785395474	1000.0	484.9507504348957	919.8955971678035	855.9810657404485	1000.0
ln_likelihood_comparison6pop2	1	1.000465895073349	2922.3987676450033	688.7562030004166	417.32838605695656	287.28051960338144	229.41710066219295	360.47948086550497	396.26003775637764	616.9284878102195	677.5382816513925	541.4000881935236	259.5016899969695
root_height_comparison6pop2	1	1.0000283634002058	8806.943117671606	1000.0	781.4038806275257	972.9935889715706	919.8470984329734	579.8844537665091	876.2839902300921	822.5039861664163	1000.0	920.4570516020269	1000.0
pop_size_comparison6pop2	1	0.9999487067037423	5286.075893450526	1000.0	678.6221289777214	431.6148208049678	473.23149497843207	712.0698159331184	549.2314698921698	999.374308002288	1000.0	929.021522379689	386.17253968019685
pop_size_comparison6pop1	1	0.999818814947439	7949.0730287438755	537.3353740482573	696.8870875799817	635.7764717021394	740.8008827351671	885.6888952682882	862.0002378712328	607.6986526410444	914.7173313431176	958.9457099433589	698.5812665701474
pop_size_root_comparison6pop2	1	1.0005291364102746	6588.486176634837	1000.0	720.9258823001613	622.0254085874395	488.24757903421755	775.0634099068108	615.455687913139	762.0181445778226	960.5865169373462	914.585215566262	534.5418509843782
ln_likelihood_comparison7pop2	1	1.0016355439037348	1882.6984422903695	690.2573548175855	502.4827184176134	445.3970391895973	528.5575257042113	298.0698820213756	956.0053383184845	525.9391665372262	360.9702222533391	152.74372499395653	464.74704781302125
root_height_comparison7pop2	1	1.000099917506002	8569.904355273642	972.1599730976601	1000.0	629.1730458168272	885.8842919755637	1000.0	818.5048234753704	866.5584241050097	676.8720729721421	791.0172921321729	1000.0
pop_size_comparison7pop2	1	0.9999086947828465	7398.874988962338	764.8478116333491	1000.0	929.1367956425837	981.9497741433574	487.2258060870098	575.5053300150443	971.0783192864287	602.2957776110193	618.8400486567858	1000.0
