parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4	ess_5	ess_6	ess_7	ess_8	ess_9
ln_likelihood	1	0.9997260767917014	5194.490399487306	424.7733405811887	450.0273700302316	440.2352963424681	478.30914297159836	673.5943384210979	466.9355834327782	412.0804615957935	372.3644906915126	610.588301519848	457.1824117592622
concentration	1	1.001016395678516	7428.793915487893	950.5244628751861	796.0300117335695	661.5288145245539	599.3522252763375	722.1339991013389	606.3227556004874	661.557750673536	949.7124704013765	550.5175278675588	1000.0
ln_likelihood_comparison2pop1	1	1.0006278550434387	7263.243375927123	419.61051146386677	1000.0	941.530536542717	756.896399258294	1000.0	959.0578188451401	934.8685141994777	579.5865834025361	985.219668766328	1000.0
root_height_comparison2pop1	1	1.0000352154038528	10000.0	1000.0	1000.0	1000.0	1000.0	829.27196947478	1000.0	1000.0	703.4652160862989	1000.0	1000.0
pop_size_comparison2pop1	1	1.0007025635844247	8215.262959961066	591.7091134475676	630.031350549981	1000.0	1000.0	766.7340730072419	925.7419235980334	1000.0	798.425888474526	1000.0	1000.0
pop_size_comparison2pop2	1	0.9999258178508288	9072.070220978334	657.1602031404822	653.2226279058024	1000.0	1000.0	638.5539774533048	703.6089029208408	1000.0	957.5733414775541	1000.0	568.5908800733971
pop_size_root_comparison2pop1	1	1.0000875259353479	8613.645579257554	641.682948177013	834.8482608747332	1000.0	1000.0	646.0880429129284	1000.0	1000.0	1000.0	1000.0	547.6747991146777
ln_likelihood_comparison4pop2	1	0.9999514680907908	10000.0	708.9845356925451	939.7256928891948	782.9257228910286	503.48046098176974	951.3768577862195	838.7764609686636	1000.0	872.4875373025833	599.0410758776314	744.1257038761285
root_height_comparison4pop2	1	1.000165103301595	6207.227580394116	848.939921099224	1000.0	864.7011224507395	698.1787100581557	713.0009902483727	699.2508367566812	1000.0	866.9912718569211	830.8193363040278	776.7227134105108
pop_size_comparison4pop2	1	0.9998627225067213	10000.0	1000.0	793.7537294560219	739.7620181436079	518.342501775235	952.8402616802274	965.744542538658	1000.0	1000.0	764.9468609650097	804.2538316205993
pop_size_comparison4pop1	1	0.9996939667785225	8502.714127241818	734.4526430897412	736.3080501319935	1000.0	559.8242745987419	573.8695063804727	890.6141479606403	1000.0	641.0684525260205	1000.0	1000.0
pop_size_root_comparison4pop2	1	0.9999216331155252	10000.0	1000.0	750.509035969783	899.8781208726438	691.231244387871	1000.0	817.8327979704812	1000.0	820.223334617645	802.1943377397821	1000.0
ln_likelihood_comparison7pop2	1	1.0002376567582152	5063.632527742982	753.1372611314519	626.9019921149882	433.957466811902	897.5138148572288	758.855236985062	527.3920973081332	637.4441469530834	1000.0	1000.0	787.6640890191221
root_height_comparison7pop2	1	1.0004060307917304	10000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	760.1820179114737	951.0578088518779	1000.0	1000.0
pop_size_comparison7pop2	1	0.9998534193360892	10000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	720.0527495966763	1000.0	1000.0	1000.0
pop_size_comparison7pop1	1	1.0003888000834917	9282.496780123724	1000.0	724.3030904200053	596.1017698778933	1000.0	733.1907448807472	693.9076860620211	1000.0	1000.0	1000.0	1000.0
pop_size_root_comparison7pop2	1	1.000041040703014	8111.650783331156	1000.0	685.4004542228344	514.2345228729881	1000.0	1000.0	849.7527533674955	720.4292754171597	836.3927686910693	1000.0	1000.0
ln_likelihood_comparison8pop1	1	1.0004616069367465	5205.1500188469345	717.992891213359	972.8142799140929	1000.0	674.1372045625011	824.6903710155059	232.21263774433598	531.1269355864989	1000.0	772.5993344733271	668.8997190770957
root_height_comparison8pop1	1	1.0000210029178713	10000.0	1000.0	1000.0	730.6124264241195	1000.0	901.5878386914043	871.5006158381628	997.114170260637	875.4960574620875	1000.0	935.1411897725404
pop_size_comparison8pop1	1	0.9999568656244319	7444.295929378605	761.0592192701893	1000.0	1000.0	849.2352739813712	1000.0	377.74495768231094	630.03354388115	1000.0	941.2203701623627	745.7623273082563
pop_size_comparison8pop2	1	1.0000829710021455	6304.726774900621	1000.0	561.8302606663477	1000.0	676.104670001976	605.7450620304464	228.32231617870346	630.1740024030737	1000.0	1000.0	551.3610533021318
pop_size_root_comparison8pop1	1	0.9999632035664423	6008.375295824162	1000.0	928.9147278352679	1000.0	859.3027230142368	843.1262328069396	237.5319229233219	680.614397914436	965.3956003994404	743.0247183289267	583.2189179909024
ln_likelihood_comparison9pop2	1	1.000793194336776	4079.9241045496533	897.750108310245	727.4226436710818	910.5235116263011	612.573280102092	934.3430165523735	1000.0	343.22841556040464	1000.0	1000.0	469.4483536295777
root_height_comparison9pop2	1	1.00057744482661	7201.709914547061	665.1468005998796	1000.0	667.180063399314	723.8056475687599	1000.0	897.0784291426281	854.6703753117393	897.3326994864237	790.6278409397944	988.64259605453
pop_size_comparison9pop2	1	1.0002886003573943	6426.015398577261	1000.0	758.3268915925821	686.9105335664103	821.0338059546406	1000.0	729.3526769837689	596.5898614199951	580.6318603287635	985.3051711249209	787.3524171201462
pop_size_comparison9pop1	1	1.000167236105095	9606.450177575229	805.3257662471023	750.9226079753709	668.2102478957135	918.093011075331	729.7986834720316	737.4137267600706	540.7538949653681	1000.0	904.4199408457279	645.7457460991349
pop_size_root_comparison9pop2	1	0.9996315624931393	10000.0	911.6957659555994	956.7505686531018	1000.0	683.0523921979988	928.1060934392059	1000.0	600.6331941069506	1000.0	853.7082670631678	691.9918695123645
ln_likelihood_comparison11pop2	1	1.0006134343173694	5122.269361777613	742.658931158671	555.7365575928336	541.5461121912908	345.9886378726942	914.9703910192605	832.7034932157325	1000.0	907.1228740338063	724.049461918458	558.9804929182657
root_height_comparison11pop2	1	0.9996403455888894	8949.904680807038	717.5115930732935	659.8778901262752	943.0053095541393	988.9475182159266	1000.0	672.059318236531	969.9877740984884	974.103317059807	694.926973607696	1000.0
pop_size_comparison11pop2	1	0.9996832288201336	10000.0	1000.0	887.5989825289209	879.4400184267124	900.9652224093898	835.4077816487173	858.8629692073006	1000.0	1000.0	895.061717682143	1000.0
pop_size_comparison11pop1	1	1.0001108427332197	9449.617058051397	970.463922168393	823.7074863145917	887.8988558244201	1000.0	898.2292781823119	1000.0	1000.0	547.2238929336141	1000.0	1000.0
pop_size_root_comparison11pop2	1	0.99965742628646	10000.0	906.789649065115	822.6002751971372	714.545092612712	973.411835651859	822.4039877478779	1000.0	964.495696764578	588.9743326930829	979.956791655395	1000.0
ln_likelihood_comparison17pop1	1	1.000102964350895	5283.985619638613	518.2410128172771	1000.0	844.4307473364966	913.2937643665346	890.8267444900735	749.8646314357021	937.0655602856249	1000.0	415.3126154304177	791.1055289593335
root_height_comparison17pop1	1	1.0003303335669032	7787.827787628624	766.6150341784596	674.4931786119826	1000.0	711.187313881024	777.2130411750819	811.7508464546084	866.8938600644416	1000.0	1000.0	890.4306052209323
pop_size_comparison17pop1	1	1.0004414354056155	6666.1508806173915	653.6968772182497	680.2541145382909	656.4926902777869	671.2512861322377	560.1571651500575	464.5005974168724	984.4501391811991	658.0520570981	519.2244466578571	422.2984658572193
pop_size_comparison17pop2	1	1.000961156960344	6210.198451571691	588.2735635548134	880.8907067303076	744.1195625226879	527.9439367598445	438.74193538104527	480.7400975724222	832.9886844615164	622.2664976806424	594.6685118738313	413.9266978421323
