number_of_events	bar_height	post_prob	prior_prob	bf
1	266.386	0.254584968375903	0.002958	115.119765168986
2	335.084	0.320239612979928	0.006368	73.5092030795223
3	239.239	0.2286405939099	0.011191	26.190275973278
4	120.347	0.115015568344939	0.017838	7.1557962566836
5	52.095	0.0497871657202056	0.027241	1.87102126233545
6	21.329	0.0203841147451054	0.040844	0.488649002737443
7	7.373	0.00704637245138834	0.060134	0.110913005567816
8	2.366	0.00226118502915839	0.086629	0.0238947862992235
9	1.135	0.00108471893833253	0.121439	0.00785601500265541
10	0.25	0.000238924876284699	0.162386	0.00123270878048198
11	0.25	0.000238924876284699	0.190238	0.00101724430481288
12	0.25	0.000238924876284699	0.176806	0.0011126801576163
13	0.25	0.000238924876284699	0.095928	0.00225228204615399
