model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,0,0,2,2,1,4,2,0,0	0.067	0.067	<1e-06	>71811.3
0,1,2,3,0,0,2,2,4,5,2,0,0	0.0636667	0.130667	<1e-06	>67995.7
0,1,2,3,0,0,4,2,5,6,2,0,0	0.0177778	0.148444	<1e-06	>18099.5
0,1,2,3,3,0,2,2,1,4,2,0,0	0.0171111	0.165556	<1e-06	>17409
0,1,2,3,3,0,2,2,4,5,2,0,0	0.0152222	0.180778	<1e-06	>15457.5
0,1,2,0,0,3,2,2,4,5,2,3,0	0.0146667	0.195444	<1e-06	>14885
0,1,2,0,0,3,2,2,1,4,2,3,0	0.0132222	0.208667	<1e-06	>13399.4
0,1,2,3,4,0,2,2,5,6,2,0,0	0.012	0.220667	<1e-06	>12145.7
0,1,2,3,0,4,2,2,5,6,2,4,0	0.0118889	0.232556	<1e-06	>12031.9
0,1,2,3,0,0,4,2,1,5,2,0,0	0.011	0.243556	<1e-06	>11122.3
0,1,2,3,0,0,2,2,4,5,6,0,0	0.0101111	0.253667	<1e-06	>10214.4
0,1,2,3,3,0,2,2,1,4,2,0,3	0.00955556	0.263222	<1e-06	>9647.74
0,1,2,3,0,0,2,2,4,4,2,0,0	0.00877778	0.272	<1e-06	>8855.5
0,1,2,3,4,0,2,2,1,5,2,0,0	0.00866667	0.280667	<1e-06	>8742.43
0,1,2,3,3,0,2,2,4,5,2,0,3	0.00866667	0.289333	<1e-06	>8742.43
0,1,2,3,0,4,2,2,1,5,2,4,0	0.00855556	0.297889	<1e-06	>8629.38
0,1,2,3,0,0,4,4,5,6,4,0,0	0.00844444	0.306333	<1e-06	>8516.35
0,1,2,3,0,0,2,4,5,6,2,0,0	0.00777778	0.314111	<1e-06	>7838.74
0,1,2,3,0,0,2,2,1,4,5,0,0	0.00766667	0.321778	<1e-06	>7725.89
0,1,2,0,0,3,2,2,4,5,2,3,3	0.007	0.328778	<1e-06	>7049.34
0,1,2,3,0,4,2,2,5,6,2,0,0	0.00666667	0.335444	<1e-06	>6711.4
0,1,2,3,4,0,2,2,5,6,2,0,4	0.00633333	0.341778	<1e-06	>6373.69
0,1,2,3,0,0,2,4,5,6,4,0,0	0.00611111	0.347889	<1e-06	>6148.68
0,1,2,0,0,3,2,2,1,4,2,3,3	0.006	0.353889	<1e-06	>6036.21
0,1,2,0,0,0,2,2,3,4,2,0,0	0.00555556	0.359444	<1e-06	>5586.59
0,1,2,3,0,0,4,4,1,5,4,0,0	0.00555556	0.365	<1e-06	>5586.59
0,1,2,0,3,3,2,2,4,5,2,3,3	0.005	0.37	<1e-06	>5025.12
0,1,2,0,3,3,2,2,1,4,2,3,3	0.00488889	0.374889	<1e-06	>4912.9
0,1,2,3,3,0,4,2,5,6,2,0,0	0.00477778	0.379667	<1e-06	>4800.71
0,1,2,3,4,0,2,2,1,5,2,0,4	0.00466667	0.384333	<1e-06	>4688.54
0,1,2,3,0,0,2,2,1,4,3,0,0	0.00466667	0.389	<1e-06	>4688.54
0,1,2,3,0,0,4,5,6,7,5,0,0	0.00466667	0.393667	1e-06	4688.54
0,1,2,3,0,0,2,2,4,5,3,0,0	0.00466667	0.398333	<1e-06	>4688.54
0,1,2,0,0,0,2,2,1,3,2,0,0	0.00466667	0.403	<1e-06	>4688.54
0,1,2,3,0,0,2,4,1,5,4,0,0	0.00455556	0.407556	<1e-06	>4576.4
0,1,2,3,0,0,4,2,5,6,7,0,0	0.00411111	0.411667	<1e-06	>4128.08
0,1,2,3,0,0,4,5,6,7,8,0,0	0.00411111	0.415778	2e-06	2064.04
0,1,2,3,0,0,4,2,5,6,4,0,0	0.00411111	0.419889	<1e-06	>4128.08
0,1,2,3,0,0,2,4,1,5,2,0,0	0.004	0.423889	<1e-06	>4016.06
0,1,2,3,0,0,4,5,6,7,2,0,0	0.00388889	0.427778	<1e-06	>3904.07
0,1,2,3,0,0,4,4,5,6,2,0,0	0.00377778	0.431556	<1e-06	>3792.1
0,1,2,3,4,0,2,2,5,6,7,0,0	0.00377778	0.435333	<1e-06	>3792.1
0,1,2,3,0,0,4,2,1,5,4,0,0	0.00377778	0.439111	<1e-06	>3792.1
0,1,2,3,0,4,2,2,1,5,2,4,4	0.00366667	0.442778	<1e-06	>3680.16
0,1,2,3,3,0,2,2,4,5,6,0,0	0.00355556	0.446333	1e-06	3568.24
0,1,2,3,0,4,2,2,5,6,2,4,4	0.00355556	0.449889	<1e-06	>3568.24
0,1,2,3,4,0,5,2,6,7,2,0,0	0.00355556	0.453444	1e-06	3568.24
0,1,2,3,0,4,2,2,1,5,2,0,0	0.00344444	0.456889	<1e-06	>3456.35
