number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
6	0.281889	0.281889	0.040844	9.21822
7	0.258111	0.54	0.060134	5.43768
8	0.164333	0.704333	0.086629	2.07337
5	0.163667	0.868	0.027241	6.98816
9	0.0815556	0.949556	0.121439	0.642413
10	0.0313333	0.980889	0.162386	0.166851
4	0.0107778	0.991667	0.017838	0.599891
11	0.00633333	0.998	0.190238	0.0271301
12	0.00144444	0.999444	0.176806	0.00673494
13	0.000333333	0.999778	0.095928	0.00314254
3	0.000222222	1	0.011191	0.0196394
1	<0.000111111	1	0.002958	<0.037456
2	<0.000111111	1	0.006368	<0.0173392
