model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,1,1,2,1	0.388111	0.388111	0.001395	454.049
0,1,2,1,3,1	0.100778	0.488889	0.00305	36.6329
0,1,1,1,2,3	0.0682222	0.557111	0.003074	23.745
0,1,2,3,4,5	0.0667778	0.623889	0.48501	0.0759792
0,1,2,1,3,4	0.0473333	0.671222	0.02078	2.34132
0,1,1,2,3,1	0.0408889	0.712111	0.003085	13.7765
0,1,2,2,3,2	0.0407778	0.752889	0.003104	13.6531
0,1,2,3,4,3	0.0406667	0.793556	0.020439	2.03161
0,1,1,2,3,4	0.0316667	0.825222	0.020676	1.54895
0,1,2,3,4,1	0.0315556	0.856778	0.020701	1.54143
0,1,1,2,3,2	0.0312222	0.888	0.001568	20.5216
0,1,2,1,3,2	0.0218889	0.909889	0.001596	13.9994
0,1,2,2,3,4	0.0216667	0.931556	0.020857	1.03968
0,1,2,2,3,1	0.0208889	0.952444	0.001496	14.2397
0,1,2,3,4,2	0.0176667	0.970111	0.020623	0.854071
0,1,0,1,2,1	0.0123333	0.982444	0.000441	28.3035
0,1,1,1,0,1	0.00511111	0.987556	0.000405	12.6797
0,1,0,2,3,2	0.002	0.989556	0.001569	1.27525
0,1,0,1,2,3	0.00177778	0.991333	0.001586	1.12113
0,1,0,2,3,4	0.00166667	0.993	0.020655	0.079156
0,1,0,2,3,1	0.00122222	0.994222	0.001505	0.811878
0,0,0,0,1,0	0.000666667	0.994889	0.001719	0.387414
0,1,1,1,2,0	0.000555556	0.995444	0.000468	1.18719
0,0,0,1,2,1	0.000555556	0.996	0.000439	1.26565
0,1,2,1,0,1	0.000444444	0.996444	0.000425	1.04577
0,1,0,1,2,0	0.000333333	0.996778	0.000477	0.698712
0,1,1,2,0,3	0.000222222	0.997	0.001549	0.143271
0,1,2,2,0,3	0.000222222	0.997222	0.001579	0.140545
0,1,2,3,0,1	0.000222222	0.997444	0.0015	0.147959
0,1,2,1,3,0	0.000222222	0.997667	0.001507	0.147271
0,0,0,1,2,3	0.000222222	0.997889	0.00294	0.0753803
0,1,1,2,0,1	0.000222222	0.998111	0.000472	0.470692
0,1,1,1,0,2	0.000222222	0.998333	0.00045	0.493715
0,1,2,1,0,3	0.000222222	0.998556	0.00157	0.141352
0,1,0,0,2,1	0.000111111	0.998667	0.00046	0.241462
0,0,0,0,1,2	0.000111111	0.998778	0.00137	0.0810009
0,0,1,1,2,1	0.000111111	0.998889	0.000428	0.259523
0,0,1,1,2,3	0.000111111	0.999	0.001496	0.0741693
0,1,2,3,0,4	0.000111111	0.999111	0.020538	0.0052995
0,1,2,3,0,2	0.000111111	0.999222	0.001494	0.0742687
0,0,1,2,3,2	0.000111111	0.999333	0.001596	0.0695151
0,1,0,0,2,0	0.000111111	0.999444	0.001347	0.0823859
0,1,1,0,2,0	0.000111111	0.999556	0.000395	0.281214
0,1,2,2,0,2	0.000111111	0.999667	0.000441	0.25187
0,1,2,2,0,1	0.000111111	0.999778	0.000219	0.507302
0,1,1,2,0,2	0.000111111	0.999889	0.000248	0.447967
0,1,2,0,3,2	0.000111111	1	0.001578	0.0703093
