number_of_events	post_prob	prior_prob	bf
1	0.0042	0.002248	1.87198975912355
2	0.0382	0.004246	9.31430939809337
3	0.0592	0.006631	9.42661940360521
4	0.0734	0.009407	8.3415714622644
5	0.0861	0.012678	7.33689900633881
6	0.086	0.01656	5.58778634023616
7	0.0797	0.021539	3.93411348064896
8	0.0809	0.026898	3.1843744554182
9	0.0782	0.033153	2.47403004605098
10	0.0682	0.040368	1.7399195059456
11	0.0629	0.049163	1.29817249821884
12	0.0626	0.058737	1.07015974434814
13	0.0514	0.069209	0.728734951937405
14	0.0448	0.080871	0.533049273604817
15	0.038	0.090051	0.399150830006678
16	0.032	0.098169	0.303686449299904
17	0.0223	0.101762	0.201328398065083
18	0.0163	0.097436	0.153491204218982
19	0.0088	0.082935	0.098171098042347
20	0.0043	0.058541	0.0694514349387064
21	0.0022	0.030575	0.0699080085755301
22	0.0003	0.008823	0.0337121537685379
