model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,3,1	0.0102222	0.0102222	<1e-06	>10327.8
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,5,1	0.00755556	0.0177778	<1e-06	>7613.07
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,1,2,1	0.00422222	0.022	<1e-06	>4240.12
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,5,5,5,1,6,1	0.00388889	0.0258889	<1e-06	>3904.07
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,3,1	0.00377778	0.0296667	<1e-06	>3792.1
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,5,1	0.00366667	0.0333333	<1e-06	>3680.16
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,4,1	0.00344444	0.0367778	<1e-06	>3456.35
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,4,4,4,4,1,3,1	0.00288889	0.0396667	<1e-06	>2897.26
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,5,5,5,1,4,1	0.00266667	0.0423333	<1e-06	>2673.79
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,6,1	0.00233333	0.0446667	<1e-06	>2338.79
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,4,4,4,4,1,5,1	0.002	0.0466667	<1e-06	>2004.01
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,5,5,5,1,3,1	0.00177778	0.0484444	<1e-06	>1780.94
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,0,4,4,4,1,3,1	0.00177778	0.0502222	<1e-06	>1780.94
0,1,0,0,2,1,1,0,0,3,1,1,3,1,1,4,4,4,4,1,3,1	0.00166667	0.0518889	<1e-06	>1669.45
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,5,5,5,1,6,1	0.00166667	0.0535556	<1e-06	>1669.45
0,1,0,0,2,1,1,3,0,1,3,1,4,1,1,5,5,5,5,1,4,1	0.00166667	0.0552222	<1e-06	>1669.45
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,0,5,5,5,1,4,1	0.00155556	0.0567778	<1e-06	>1557.98
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,0,4,4,4,1,5,1	0.00144444	0.0582222	<1e-06	>1446.53
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,6,6,6,6,1,5,1	0.00144444	0.0596667	<1e-06	>1446.53
0,1,0,0,2,1,1,3,0,1,3,1,4,1,1,5,5,5,5,1,6,1	0.00144444	0.0611111	<1e-06	>1446.53
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,4,4,4,1,2,1	0.00133333	0.0624444	<1e-06	>1335.11
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,3,1	0.00133333	0.0637778	<1e-06	>1335.11
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,5,5,5,1,6,1	0.00133333	0.0651111	<1e-06	>1335.11
0,1,0,0,2,1,1,0,0,1,0,1,3,1,4,5,5,5,5,1,3,1	0.00122222	0.0663333	<1e-06	>1223.72
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,6,6,6,6,1,7,1	0.00111111	0.0674444	<1e-06	>1112.35
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,4,4,4,4,1,2,1	0.001	0.0684444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,2,1	0.001	0.0694444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,3,1	0.001	0.0704444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,0,5,5,5,1,6,1	0.001	0.0714444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,5,5,5,1,3,1	0.001	0.0724444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,1,0,1,3,1,4,5,5,5,5,1,6,1	0.001	0.0734444	<1e-06	>1001
0,1,0,0,2,1,1,0,0,1,3,1,4,1,5,6,6,6,6,1,7,1	0.000888889	0.0743333	<1e-06	>889.679
0,1,0,0,2,1,1,0,0,1,3,1,4,1,1,5,5,5,5,1,2,1	0.000888889	0.0752222	<1e-06	>889.679
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,5,5,5,1,6,1	0.000888889	0.0761111	<1e-06	>889.679
0,1,0,0,2,3,1,0,0,1,0,1,4,1,1,5,5,5,5,1,6,1	0.000888889	0.077	<1e-06	>889.679
0,1,0,0,2,1,1,3,0,1,3,1,4,1,1,5,5,5,5,1,2,1	0.000777778	0.0777778	<1e-06	>778.382
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,5,5,5,1,6,7	0.000777778	0.0785556	<1e-06	>778.382
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,0,4,4,4,1,2,1	0.000777778	0.0793333	<1e-06	>778.382
0,1,0,0,2,1,1,0,0,1,0,1,2,1,1,3,3,3,3,1,2,1	0.000777778	0.0801111	<1e-06	>778.382
0,1,0,0,2,3,1,0,0,1,0,1,4,1,1,5,5,5,5,1,4,1	0.000777778	0.0808889	<1e-06	>778.382
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,5,6,6,6,1,7,1	0.000777778	0.0816667	<1e-06	>778.382
0,1,0,0,2,3,1,0,0,4,0,1,5,1,3,6,6,6,6,1,7,1	0.000777778	0.0824444	<1e-06	>778.382
0,1,0,0,2,1,1,0,0,1,3,1,2,1,1,4,4,4,4,1,2,1	0.000666667	0.0831111	<1e-06	>667.111
0,1,0,0,2,3,1,0,0,1,0,3,4,3,3,5,5,5,5,1,4,1	0.000666667	0.0837778	<1e-06	>667.111
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,0,6,6,6,1,7,1	0.000666667	0.0844444	<1e-06	>667.111
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,4,5,5,5,1,3,1	0.000666667	0.0851111	<1e-06	>667.111
0,1,0,2,3,1,1,0,0,1,0,1,4,1,1,5,5,5,5,1,4,1	0.000666667	0.0857778	<1e-06	>667.111
0,1,0,0,2,1,1,0,0,3,0,1,3,1,4,5,5,5,5,1,6,1	0.000666667	0.0864444	<1e-06	>667.111
0,1,0,0,2,1,1,3,0,4,3,1,5,1,1,6,6,6,6,1,7,1	0.000666667	0.0871111	<1e-06	>667.111
0,1,0,0,2,1,1,0,0,3,0,1,3,1,1,0,4,4,4,1,5,1	0.000555556	0.0876667	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,4,0,1,5,1,1,6,6,6,6,1,5,1	0.000555556	0.0882222	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,5,5,5,1,4,1	0.000555556	0.0887778	<1e-06	>555.864
0,1,0,0,2,1,1,0,0,3,1,1,3,1,1,0,4,4,4,1,3,1	0.000555556	0.0893333	<1e-06	>555.864
0,1,0,0,2,3,1,0,0,4,0,1,5,1,1,6,6,6,6,1,7,1	0.000555556	0.0898889	<1e-06	>555.864
