number_of_events	post_prob	cumulative_post_prob	prior_prob	bf
8	0.176556	0.176556	0.026898	7.75685
9	0.161667	0.338222	0.033153	5.62391
7	0.148667	0.486889	0.021539	7.9329
10	0.137333	0.624222	0.040368	3.78443
6	0.0953333	0.719556	0.01656	6.25812
11	0.094	0.813556	0.049163	2.00663
12	0.0633333	0.876889	0.058737	1.08354
5	0.0394444	0.916333	0.012678	3.19795
13	0.0377778	0.954111	0.069209	0.52802
14	0.0228889	0.977	0.080871	0.266235
15	0.011	0.988	0.090051	0.112389
16	0.00633333	0.994333	0.098169	0.0585521
17	0.00255556	0.996889	0.101762	0.0226153
4	0.002	0.998889	0.009407	0.21103
18	0.000777778	0.999667	0.097436	0.00721028
19	0.000222222	0.999889	0.082935	0.0024578
20	0.000111111	1	0.058541	0.00178709
21	<0.000111111	1	0.030575	<0.00352333
1	<0.000111111	1	0.002248	<0.049321
22	<0.000111111	1	0.008823	<0.0124836
3	<0.000111111	1	0.006631	<0.0166471
2	<0.000111111	1	0.004246	<0.0260602
