model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,0,1,1,1,2,2,3	0.269111	0.269111	1.8e-05	20455
0,1,2,1,1,1,3,3,4	0.101556	0.370667	4.2e-05	2691.19
0,1,0,1,1,2,3,3,4	0.0756667	0.446333	1.8e-05	4547.74
0,1,0,2,2,2,3,3,4	0.0423333	0.488667	1.6e-05	2762.75
0,1,2,1,1,3,4,4,5	0.0421111	0.530778	9.7e-05	453.177
0,1,0,2,1,2,3,3,4	0.0332222	0.564	9e-06	3818.17
0,1,0,2,1,1,3,3,4	0.0276667	0.591667	1.4e-05	2032.39
0,1,0,1,2,1,3,3,4	0.0225556	0.614222	2.9e-05	795.703
0,1,2,3,3,3,4,4,5	0.0211111	0.635333	6.6e-05	326.742
0,1,2,3,1,3,4,4,5	0.0208889	0.656222	5.8e-05	367.816
0,1,0,2,1,3,4,4,5	0.0208889	0.677111	4.4e-05	484.855
0,1,0,2,2,3,4,4,5	0.0171111	0.694222	4.8e-05	362.67
0,1,0,2,3,2,4,4,5	0.0168889	0.711111	3.3e-05	520.559
0,1,0,1,1,1,2,3,4	0.0162222	0.727333	4.7e-05	350.829
0,1,2,3,1,1,4,4,5	0.0145556	0.741889	9.5e-05	155.465
0,1,2,3,3,4,5,5,6	0.0142222	0.756111	0.000299	48.2378
0,1,0,2,3,4,5,5,6	0.0135556	0.769667	0.000296	46.4114
0,1,2,3,1,4,5,5,6	0.0131111	0.782778	0.000282	47.0977
0,1,2,3,4,5,6,6,7	0.013	0.795778	0.003467	3.78586
0,1,2,3,4,3,5,5,6	0.0111111	0.806889	0.000343	32.7467
0,1,0,1,2,3,4,4,5	0.011	0.817889	4.2e-05	264.807
0,1,2,1,3,1,4,4,5	0.0108889	0.828778	9.3e-05	118.363
0,1,2,1,1,1,3,4,5	0.00933333	0.838111	0.000274	34.3748
0,1,0,2,2,1,3,3,4	0.00855556	0.846667	9e-06	958.812
0,1,0,1,2,2,3,3,4	0.00855556	0.855222	6e-06	1438.22
0,1,0,1,1,2,3,4,5	0.00766667	0.862889	9.1e-05	84.8923
0,1,0,2,3,3,4,4,5	0.00744444	0.870333	4.3e-05	174.418
0,1,2,1,3,4,5,5,6	0.00733333	0.877667	0.000299	24.7
0,1,2,1,3,3,4,4,5	0.00611111	0.883778	3.6e-05	170.791
0,1,2,3,4,4,5,5,6	0.00566667	0.889444	0.00036	15.8247
0,1,0,1,1,0,2,2,3	0.00555556	0.895	9e-06	620.727
0,1,0,2,2,2,1,1,3	0.00522222	0.900222	9e-06	583.288
0,1,0,2,2,2,3,4,5	0.00511111	0.905333	7.9e-05	65.0248
0,1,2,1,1,3,4,5,6	0.00477778	0.910111	0.000638	7.51983
0,1,2,3,3,1,4,4,5	0.004	0.914111	3.3e-05	121.695
0,1,2,3,4,1,5,5,6	0.00322222	0.917333	0.000328	9.85237
0,1,0,2,2,3,1,1,4	0.00322222	0.920556	1.7e-05	190.152
0,1,0,2,3,2,4,5,6	0.00311111	0.923667	0.000342	9.12208
0,1,2,3,3,3,4,5,6	0.00311111	0.926778	0.000611	5.1046
0,1,2,3,1,4,5,6,7	0.003	0.929778	0.003353	0.894404
0,1,0,2,2,3,4,5,6	0.003	0.932778	0.000338	8.89944
0,1,2,3,1,3,4,5,6	0.00288889	0.935667	0.000317	9.13672
0,1,2,3,3,4,5,6,7	0.00277778	0.938444	0.003427	0.810029
0,1,0,2,1,2,3,4,5	0.00277778	0.941222	3.4e-05	81.9241
0,1,2,3,4,5,6,7,8	0.00266667	0.943889	0.045012	0.0567281
0,1,0,2,3,1,4,4,5	0.00266667	0.946556	3.9e-05	68.5562
0,1,0,2,1,1,3,4,5	0.00255556	0.949111	9.1e-05	28.1524
0,1,0,2,3,4,5,6,7	0.00244444	0.951556	0.00339	0.720392
0,1,0,2,1,3,4,5,6	0.00233333	0.953889	0.000325	7.19394
0,1,2,3,3,3,1,1,4	0.00233333	0.956222	3.2e-05	73.0849
0,1,2,1,1,0,3,3,4	0.00188889	0.958111	9e-06	210.272
0,1,2,3,4,3,5,6,7	0.00166667	0.959778	0.003426	0.485619
0,1,2,1,3,4,5,6,7	0.00166667	0.961444	0.003503	0.474908
0,1,0,2,3,2,1,1,4	0.00166667	0.963111	1.2e-05	139.119
0,1,2,1,3,1,4,5,6	0.00166667	0.964778	0.000625	2.66945
0,1,2,3,3,4,1,1,5	0.00144444	0.966222	7.9e-05	18.3091
